account_id,outcome_id,outcome_date,title,outcome_type,revenue_value,evidence,confidence,related_decision_id,source_platform
304004,out_cs_roi,2026-02-23,35x ROI on CS Engagement Investment,expansion,5770841.4,"Total CS intervention cost: $148,000 (solutions architect, field engineers, ROI analysis, optimization, deployment). Net revenue generated: $5,052,000. ROI: 3,414%.",0.9,,csv_import
304005,out_expansion_deal,2026-01-16,$5.2M Expansion Deal Closed,expansion,4875733.17,Signed PO for 128 additional GPUs (4 racks). Direct result of champion-driven growth enabled by CSM capacity analysis and ROI documentation.,1.0,,csv_import
304005,out_arr_growth,2026-02-24,ARR Growth from $2.4M to $7.6M,expansion,5415076.66,Account ARR increased 217% over 36 weeks. Expansion hardware fully deployed and operational by week 36.,0.95,,csv_import
304005,out_churn_averted,2025-12-04,Competitive Displacement Risk Averted,churn_averted,2113863.11,"During capacity crunch, Infrastructure Director evaluated cloud GPU alternatives. CSM's interim optimization and expansion proposal prevented migration of workloads to competitor infrastructure.",0.8,,csv_import
304005,out_cs_roi,2026-02-23,35x ROI on CS Engagement Investment,expansion,5164251.73,"Total CS intervention cost: $148,000 (solutions architect, field engineers, ROI analysis, optimization, deployment). Net revenue generated: $5,052,000. ROI: 3,414%.",0.9,,csv_import
304006,out_expansion_deal,2026-01-15,$5.2M Expansion Deal Closed,expansion,5166794.17,Signed PO for 128 additional GPUs (4 racks). Direct result of champion-driven growth enabled by CSM capacity analysis and ROI documentation.,1.0,,csv_import
304006,out_arr_growth,2026-02-25,ARR Growth from $2.4M to $7.6M,expansion,4707607.33,Account ARR increased 217% over 36 weeks. Expansion hardware fully deployed and operational by week 36.,0.95,,csv_import
304006,out_churn_averted,2025-12-01,Competitive Displacement Risk Averted,churn_averted,2221784.44,"During capacity crunch, Infrastructure Director evaluated cloud GPU alternatives. CSM's interim optimization and expansion proposal prevented migration of workloads to competitor infrastructure.",0.8,,csv_import
304006,out_cs_roi,2026-02-26,35x ROI on CS Engagement Investment,expansion,4467110.47,"Total CS intervention cost: $148,000 (solutions architect, field engineers, ROI analysis, optimization, deployment). Net revenue generated: $5,052,000. ROI: 3,414%.",0.9,,csv_import
304007,out_expansion_deal,2026-01-12,$5.2M Expansion Deal Closed,expansion,5045103.61,Signed PO for 128 additional GPUs (4 racks). Direct result of champion-driven growth enabled by CSM capacity analysis and ROI documentation.,1.0,,csv_import
304007,out_arr_growth,2026-02-23,ARR Growth from $2.4M to $7.6M,expansion,5320153.0,Account ARR increased 217% over 36 weeks. Expansion hardware fully deployed and operational by week 36.,0.95,,csv_import
304007,out_churn_averted,2025-12-01,Competitive Displacement Risk Averted,churn_averted,2149243.45,"During capacity crunch, Infrastructure Director evaluated cloud GPU alternatives. CSM's interim optimization and expansion proposal prevented migration of workloads to competitor infrastructure.",0.8,,csv_import
304007,out_cs_roi,2026-02-27,35x ROI on CS Engagement Investment,expansion,5732694.82,"Total CS intervention cost: $148,000 (solutions architect, field engineers, ROI analysis, optimization, deployment). Net revenue generated: $5,052,000. ROI: 3,414%.",0.9,,csv_import
304008,out_expansion_deal,2026-01-12,$5.2M Expansion Deal Closed,expansion,5970512.27,Signed PO for 128 additional GPUs (4 racks). Direct result of champion-driven growth enabled by CSM capacity analysis and ROI documentation.,1.0,,csv_import
304008,out_arr_growth,2026-02-23,ARR Growth from $2.4M to $7.6M,expansion,5290593.93,Account ARR increased 217% over 36 weeks. Expansion hardware fully deployed and operational by week 36.,0.95,,csv_import
304008,out_churn_averted,2025-12-04,Competitive Displacement Risk Averted,churn_averted,2476548.71,"During capacity crunch, Infrastructure Director evaluated cloud GPU alternatives. CSM's interim optimization and expansion proposal prevented migration of workloads to competitor infrastructure.",0.8,,csv_import
304008,out_cs_roi,2026-02-27,35x ROI on CS Engagement Investment,expansion,4636251.42,"Total CS intervention cost: $148,000 (solutions architect, field engineers, ROI analysis, optimization, deployment). Net revenue generated: $5,052,000. ROI: 3,414%.",0.9,,csv_import
304009,out_expansion_deal,2026-01-16,$5.2M Expansion Deal Closed,expansion,5013389.72,Signed PO for 128 additional GPUs (4 racks). Direct result of champion-driven growth enabled by CSM capacity analysis and ROI documentation.,1.0,,csv_import
304009,out_arr_growth,2026-02-26,ARR Growth from $2.4M to $7.6M,expansion,4883870.89,Account ARR increased 217% over 36 weeks. Expansion hardware fully deployed and operational by week 36.,0.95,,csv_import
304009,out_churn_averted,2025-12-05,Competitive Displacement Risk Averted,churn_averted,2752822.51,"During capacity crunch, Infrastructure Director evaluated cloud GPU alternatives. CSM's interim optimization and expansion proposal prevented migration of workloads to competitor infrastructure.",0.8,,csv_import
304009,out_cs_roi,2026-02-25,35x ROI on CS Engagement Investment,expansion,5156014.83,"Total CS intervention cost: $148,000 (solutions architect, field engineers, ROI analysis, optimization, deployment). Net revenue generated: $5,052,000. ROI: 3,414%.",0.9,,csv_import
304010,out_expansion_deal,2026-01-12,$5.2M Expansion Deal Closed,expansion,5371024.22,Signed PO for 128 additional GPUs (4 racks). Direct result of champion-driven growth enabled by CSM capacity analysis and ROI documentation.,1.0,,csv_import
304010,out_arr_growth,2026-02-23,ARR Growth from $2.4M to $7.6M,expansion,5898240.71,Account ARR increased 217% over 36 weeks. Expansion hardware fully deployed and operational by week 36.,0.95,,csv_import
304010,out_churn_averted,2025-12-02,Competitive Displacement Risk Averted,churn_averted,2490370.82,"During capacity crunch, Infrastructure Director evaluated cloud GPU alternatives. CSM's interim optimization and expansion proposal prevented migration of workloads to competitor infrastructure.",0.8,,csv_import
304010,out_cs_roi,2026-02-25,35x ROI on CS Engagement Investment,expansion,5295144.88,"Total CS intervention cost: $148,000 (solutions architect, field engineers, ROI analysis, optimization, deployment). Net revenue generated: $5,052,000. ROI: 3,414%.",0.9,,csv_import
