signal_id,account_id,signal_date,signal_type,stakeholder_level,stakeholder_title,content,sentiment,sentiment_score,keywords,is_narrative_signal
SIG-17006-2024-05-28-110,17006,2024-05-28,meeting,Manager,VP Engineering,Checking in on project status,neutral,0.06,,False
SIG-17006-2024-08-02-111,17006,2024-08-02,email,Manager,IT Manager,Technical issues reported,negative,-0.97,,False
SIG-17006-2024-10-23-112,17006,2024-10-23,call,C-suite,CEO,Budget constraints mentioned,negative,-0.91,budget,False
SIG-17006-2024-09-30-113,17006,2024-09-30,call,VP,Operations Manager,Technical issues reported,negative,-0.57,,True
SIG-17006-2024-09-19-114,17006,2024-09-19,meeting,Manager,VP Engineering,Status update meeting,neutral,0.06,,True
SIG-17006-2024-06-28-115,17006,2024-06-28,meeting,Director,CEO,Recovery plan discussion,neutral,0.08,recovery,False
SIG-17006-2024-07-06-116,17006,2024-07-06,slack,Director,Director Infrastructure,Technical review meeting,neutral,-0.07,,True
SIG-17006-2024-01-27-117,17006,2024-01-27,meeting,Manager,Director ML,Champion advocating for more investment,positive,0.64,growth,True
SIG-17006-2024-06-06-118,17006,2024-06-06,email,VP,Operations Manager,Regular check-in call,neutral,-0.27,,False
SIG-17006-2024-07-30-119,17006,2024-07-30,call,VP,VP Engineering,Expansion approved for Q3,positive,0.62,"expansion,growth",True
SIG-17006-2024-12-29-120,17006,2024-12-29,email,Director,Director Infrastructure,Churn risk discussed,negative,-0.57,,False
SIG-17006-2024-12-02-121,17006,2024-12-02,email,C-suite,CEO,Expansion approved for Q4,positive,0.6,"expansion,growth",False
SIG-17006-2024-05-08-122,17006,2024-05-08,call,VP,Engineering Manager,Training session completed,neutral,-0.26,,False
SIG-17006-2024-07-26-123,17006,2024-07-26,email,Manager,CEO,Expansion approved for Q3,positive,0.93,"expansion,growth",True
SIG-17006-2024-07-03-124,17006,2024-07-03,email,Director,Director Infrastructure,Churn risk discussed,negative,-0.46,,False
SIG-17006-2024-09-26-125,17006,2024-09-26,email,Manager,CEO,Status update meeting,neutral,0.0,,True
SIG-17006-2024-09-16-126,17006,2024-09-16,meeting,Manager,CEO,Recovery plan working well,positive,0.52,"growth,recovery",True
SIG-17006-2024-03-07-127,17006,2024-03-07,slack,C-suite,Director ML,"Great QBR, discussing expansion",positive,0.69,"expansion,growth",False
SIG-17007-2024-05-15-128,17007,2024-05-15,meeting,Manager,CEO,Critical incident occurred,negative,-0.63,,True
SIG-17007-2024-01-30-129,17007,2024-01-30,slack,C-suite,Director Infrastructure,Regular check-in call,neutral,-0.3,,False
SIG-17007-2024-05-25-130,17007,2024-05-25,call,VP,IT Manager,Champion advocating for more investment,positive,0.74,growth,False
SIG-17007-2024-02-13-131,17007,2024-02-13,slack,Director,Director Infrastructure,"Great QBR, discussing expansion",positive,0.54,"expansion,growth",True
SIG-17007-2024-02-10-132,17007,2024-02-10,call,VP,Director Infrastructure,Training session completed,neutral,-0.24,,True
SIG-17007-2024-10-01-133,17007,2024-10-01,call,Director,CFO,Regular check-in call,neutral,-0.1,,True
SIG-17007-2024-08-10-134,17007,2024-08-10,email,VP,VP Engineering,Evaluating alternatives,negative,-0.74,,False
SIG-17007-2024-09-21-135,17007,2024-09-21,meeting,Manager,Engineering Manager,Service degradation reported,negative,-0.61,,True
SIG-17007-2024-07-01-136,17007,2024-07-01,call,Manager,CFO,Regular check-in call,neutral,-0.17,,True
SIG-17007-2024-06-19-137,17007,2024-06-19,slack,Manager,Operations Manager,Service degradation reported,negative,-0.45,,False
SIG-17007-2024-06-14-138,17007,2024-06-14,email,C-suite,CEO,Support ticket escalation,negative,-0.87,,True
SIG-17007-2024-08-29-139,17007,2024-08-29,meeting,Director,Operations Manager,Thinking about additional use cases,positive,0.63,growth,True
SIG-17007-2024-07-29-140,17007,2024-07-29,slack,Director,CTO,Evaluating alternatives,negative,-0.79,,False
SIG-17007-2024-02-19-141,17007,2024-02-19,email,VP,CFO,Technical review meeting,neutral,-0.16,,False
SIG-17007-2024-12-22-142,17007,2024-12-22,meeting,Director,IT Manager,Regular check-in call,neutral,0.21,,True
SIG-17007-2024-08-10-143,17007,2024-08-10,call,Director,VP Engineering,Budget constraints mentioned,negative,-0.49,budget,True
SIG-17007-2024-11-02-144,17007,2024-11-02,slack,Manager,VP Engineering,Technical issues reported,negative,-0.8,,False
SIG-17007-2024-09-15-145,17007,2024-09-15,meeting,Manager,CFO,Expansion approved for Q3,positive,0.97,"expansion,growth",True
SIG-17007-2024-10-15-146,17007,2024-10-15,email,Director,Operations Manager,Champion advocating for more investment,positive,1.0,growth,True
SIG-17007-2024-04-21-147,17007,2024-04-21,slack,VP,IT Manager,Technical issues reported,negative,-0.54,,True
SIG-17007-2024-04-09-148,17007,2024-04-09,meeting,VP,CFO,Recovery plan discussion,neutral,0.25,recovery,False
SIG-17007-2024-05-20-149,17007,2024-05-20,email,C-suite,VP Engineering,Budget approved for growth,positive,0.69,"budget,growth",False
SIG-17008-2024-06-23-150,17008,2024-06-23,slack,Manager,Engineering Manager,Expansion approved for Q2,positive,0.65,"expansion,growth",True
SIG-17008-2024-12-01-151,17008,2024-12-01,slack,Director,CEO,Recovery plan working well,positive,0.95,"growth,recovery",True
SIG-17008-2024-08-09-152,17008,2024-08-09,call,C-suite,IT Manager,Recovery plan discussion,neutral,-0.11,recovery,True
SIG-17008-2024-05-05-153,17008,2024-05-05,meeting,C-suite,CFO,Regular check-in call,neutral,-0.19,,False
SIG-17008-2024-11-16-154,17008,2024-11-16,meeting,Director,VP Engineering,Churn risk discussed,negative,-0.75,,False
SIG-17008-2024-11-29-155,17008,2024-11-29,meeting,Manager,CFO,Recovery plan discussion,neutral,0.18,recovery,False
SIG-17008-2024-01-23-156,17008,2024-01-23,meeting,Director,Director Infrastructure,Support ticket escalation,negative,-0.75,,True
SIG-17008-2024-01-04-157,17008,2024-01-04,call,VP,Director Infrastructure,Technical review meeting,neutral,-0.17,,False
SIG-17008-2024-09-07-158,17008,2024-09-07,email,VP,CFO,Recovery plan discussion,neutral,0.22,recovery,True
SIG-17008-2024-02-24-159,17008,2024-02-24,call,Director,CTO,Recovery plan discussion,neutral,-0.26,recovery,True
SIG-17008-2024-01-24-160,17008,2024-01-24,email,Director,Engineering Manager,Churn risk discussed,negative,-0.83,,True
SIG-17008-2024-06-22-161,17008,2024-06-22,meeting,Manager,CTO,Budget constraints mentioned,negative,-0.48,budget,False
SIG-17008-2024-04-03-162,17008,2024-04-03,slack,Manager,VP Engineering,Evaluating alternatives,negative,-0.61,,False
SIG-17008-2024-10-07-163,17008,2024-10-07,slack,Director,Director ML,Budget approved for growth,positive,0.68,"budget,growth",True
SIG-17008-2024-11-28-164,17008,2024-11-28,email,VP,CTO,Recovery plan discussion,neutral,-0.22,recovery,False
SIG-17008-2024-10-29-165,17008,2024-10-29,slack,C-suite,IT Manager,Status update meeting,neutral,-0.0,,True
SIG-17008-2024-02-26-166,17008,2024-02-26,call,Manager,Operations Manager,Service degradation reported,negative,-0.49,,True
SIG-17008-2024-07-23-167,17008,2024-07-23,call,C-suite,CFO,Churn risk discussed,negative,-0.58,,False
SIG-17008-2024-09-01-168,17008,2024-09-01,call,Manager,Director ML,Checking in on project status,neutral,-0.29,,False
SIG-17008-2024-06-26-169,17008,2024-06-26,call,Director,VP Engineering,Churn risk discussed,negative,-0.57,,False
SIG-17008-2024-01-13-170,17008,2024-01-13,call,C-suite,CEO,"Great QBR, discussing expansion",positive,0.62,"expansion,growth",True
SIG-17008-2024-02-10-171,17008,2024-02-10,meeting,Manager,VP Engineering,Checking in on project status,neutral,-0.18,,False
SIG-17008-2024-03-21-172,17008,2024-03-21,slack,VP,CFO,Budget approved for growth,positive,0.99,"budget,growth",True
SIG-17008-2024-03-01-173,17008,2024-03-01,email,Manager,Operations Manager,Budget approved for growth,positive,0.62,"budget,growth",True
SIG-17008-2024-11-28-174,17008,2024-11-28,meeting,C-suite,CTO,Support ticket escalation,negative,-0.42,,True
SIG-17009-2024-07-08-175,17009,2024-07-08,call,Manager,CFO,Recovery plan discussion,neutral,-0.12,recovery,False
SIG-17009-2024-02-25-176,17009,2024-02-25,slack,Manager,Engineering Manager,Checking in on project status,neutral,-0.0,,True
SIG-17009-2024-07-17-177,17009,2024-07-17,slack,Manager,CTO,Budget approved for growth,positive,0.75,"budget,growth",True
SIG-17009-2024-02-03-178,17009,2024-02-03,call,VP,CTO,Expansion approved for Q1,positive,0.58,"expansion,growth",False
SIG-17009-2024-03-29-179,17009,2024-03-29,email,VP,VP Engineering,Churn risk discussed,negative,-0.47,,False
SIG-17009-2024-11-22-180,17009,2024-11-22,email,VP,Operations Manager,Regular check-in call,neutral,0.0,,False
SIG-17009-2024-03-31-181,17009,2024-03-31,email,Manager,CTO,Concerns about performance,negative,-0.61,,False
SIG-17009-2024-03-11-182,17009,2024-03-11,email,VP,VP Engineering,Evaluating alternatives,negative,-0.87,,True
SIG-17009-2024-07-29-183,17009,2024-07-29,call,Manager,VP Engineering,Budget constraints mentioned,negative,-0.36,budget,True
SIG-17009-2024-12-11-184,17009,2024-12-11,slack,C-suite,Director ML,Critical incident occurred,negative,-0.51,,True
SIG-17009-2024-04-17-185,17009,2024-04-17,call,Director,Operations Manager,Recovery plan discussion,neutral,-0.06,recovery,False
SIG-17009-2024-05-29-186,17009,2024-05-29,call,VP,Engineering Manager,Service degradation reported,negative,-0.97,,True
SIG-17009-2024-12-23-187,17009,2024-12-23,meeting,C-suite,Operations Manager,Concerns about performance,negative,-0.89,,False
SIG-17009-2024-12-18-188,17009,2024-12-18,meeting,Manager,Director ML,Performance improvements noted,positive,0.66,growth,True
SIG-17009-2024-04-21-189,17009,2024-04-21,call,Director,CFO,Champion advocating for more investment,positive,0.52,growth,False
SIG-17009-2024-06-23-190,17009,2024-06-23,call,Director,CEO,Status update meeting,neutral,0.27,,False
SIG-17009-2024-11-07-191,17009,2024-11-07,call,Manager,CFO,Concerns about performance,negative,-0.37,,True
SIG-17009-2024-05-31-192,17009,2024-05-31,meeting,C-suite,CFO,Want to add more GPUs,positive,0.6,growth,False
SIG-17009-2024-11-07-193,17009,2024-11-07,slack,C-suite,Operations Manager,Technical review meeting,neutral,0.23,,False
SIG-17009-2024-03-01-194,17009,2024-03-01,slack,C-suite,Operations Manager,Technical issues reported,negative,-0.47,,True
SIG-17009-2024-09-18-195,17009,2024-09-18,slack,Director,VP Engineering,Support ticket escalation,negative,-0.43,,True
SIG-17009-2024-05-09-196,17009,2024-05-09,email,Manager,Director ML,Support ticket escalation,negative,-0.34,,False
SIG-17010-2024-02-07-197,17010,2024-02-07,meeting,C-suite,Engineering Manager,Want to add more GPUs,positive,0.68,growth,True
SIG-17010-2024-05-10-198,17010,2024-05-10,email,C-suite,VP Engineering,Checking in on project status,neutral,0.11,,True
SIG-17010-2024-12-10-199,17010,2024-12-10,meeting,C-suite,Director ML,Champion advocating for more investment,positive,0.87,growth,False
SIG-17010-2024-03-28-200,17010,2024-03-28,call,VP,IT Manager,Support ticket escalation,negative,-0.58,,True
SIG-17010-2024-01-09-201,17010,2024-01-09,meeting,Director,IT Manager,Training session completed,neutral,-0.11,,False
SIG-17010-2024-04-05-202,17010,2024-04-05,call,VP,Director ML,Regular check-in call,neutral,0.2,,False
SIG-17010-2024-05-24-203,17010,2024-05-24,slack,Director,Director Infrastructure,"Great QBR, discussing expansion",positive,0.8,"expansion,growth",True
SIG-17010-2024-11-08-204,17010,2024-11-08,slack,Manager,CFO,"Great QBR, discussing expansion",positive,0.6,"expansion,growth",True
SIG-17010-2024-06-04-205,17010,2024-06-04,slack,VP,CTO,Training session completed,neutral,-0.19,,False
SIG-17010-2024-12-19-206,17010,2024-12-19,email,Director,CTO,Concerns about performance,negative,-0.84,,True
SIG-17010-2024-03-22-207,17010,2024-03-22,meeting,Director,Operations Manager,Champion advocating for more investment,positive,0.52,growth,True
SIG-17010-2024-10-01-208,17010,2024-10-01,meeting,VP,IT Manager,Expansion approved for Q4,positive,0.54,"expansion,growth",False
SIG-17010-2024-01-16-209,17010,2024-01-16,slack,Director,Engineering Manager,Technical issues reported,negative,-0.53,,True
SIG-17010-2024-08-31-210,17010,2024-08-31,meeting,VP,CFO,Support ticket escalation,negative,-0.9,,False
SIG-17010-2024-11-16-211,17010,2024-11-16,email,C-suite,Director Infrastructure,Budget constraints mentioned,negative,-0.93,budget,False
SIG-17010-2024-07-30-212,17010,2024-07-30,slack,C-suite,IT Manager,Training session completed,neutral,0.13,,True
SIG-17010-2024-05-15-213,17010,2024-05-15,meeting,Director,CEO,Budget constraints mentioned,negative,-0.9,budget,True
SIG-17010-2024-10-31-214,17010,2024-10-31,email,C-suite,Engineering Manager,Regular check-in call,neutral,-0.0,,True
SIG-17010-2024-04-26-215,17010,2024-04-26,email,Manager,Engineering Manager,Technical review meeting,neutral,0.27,,False
SIG-17010-2024-03-22-216,17010,2024-03-22,email,Director,IT Manager,"Great QBR, discussing expansion",positive,0.93,"expansion,growth",False
SIG-17010-2024-03-07-217,17010,2024-03-07,meeting,Director,Engineering Manager,Recovery plan discussion,neutral,-0.2,recovery,False
