account_id,event_date,event_type,description,stakeholder_name,sentiment_shift,channel,duration_minutes,outcome,source_platform
332002,2025-08-01,milestone,POC workloads deployed successfully. GPU utilization climbs from 55% to 62%. VP Engineering reports positive results to CTO.,VP Engineering,0.1,video_call,60,,csv_import
332002,2025-08-30,signal,GPU utilization crosses 70% for the first time. Workload Diversity Score increases to 4 distinct workload types. AI platform showing strong adoption.,VP Engineering,0.1,in_person,90,,csv_import
332002,2025-09-10,milestone,GPU utilization hits 75% -- the key expansion threshold. Capacity utilization at 78%. Training job completion rate holds strong at 93%. Champion's teams are scaling rapidly.,VP Engineering,0.15,email,45,,csv_import
332002,2025-10-05,meeting,CSM-led capacity planning session with VP Engineering and Infrastructure Director. Show capacity runway depletes in 10 weeks at current growth rate. Champion agrees to raise expansion budget request.,VP Engineering,0.1,video_call,60,,csv_import
332002,2025-10-26,signal,GPU utilization hits 85%. Training job completion rate drops to 82% as jobs queue for resources. Inference latency (P95) climbs from 40ms to 65ms. First complaints from ML teams.,VP Engineering,-0.15,phone,45,,csv_import
332002,2025-11-06,incident,Critical GPU memory exhaustion incident. Two production inference endpoints go down for 3 hours. Thermal management score degrades as GPUs run at sustained high load. Infrastructure Director raises concerns about reliability.,VP Engineering,-0.25,email,45,,csv_import
332002,2025-11-23,escalation,"VP Engineering escalates to CTO: current infrastructure cannot support AI roadmap. Without expansion, 2 planned ML projects will be delayed 6 months. CTO requests expansion proposal within 2 weeks.",VP Engineering,-0.1,phone,30,,csv_import
332002,2025-12-21,decision,CTO approves $5.2M expansion budget. Infrastructure Director begins procurement process. CSM provides detailed sizing recommendation based on workload growth projections.,VP Engineering,0.2,email,90,,csv_import
332002,2025-12-31,meeting,Technical deep-dive with Infrastructure Director on expansion architecture. CSM arranges reference call with similar customer who expanded successfully. Pricing negotiation begins.,VP Engineering,0.15,video_call,60,,csv_import
332002,2026-01-09,milestone,Interim GPU scheduling optimization deployed. Training job completion rate recovers to 88%. Inference latency improves to 52ms. Demonstrates CS team's ability to deliver value under pressure.,VP Engineering,0.1,in_person,30,,csv_import
332002,2026-01-29,decision,Infrastructure Director signs $5.2M expansion purchase order. 128 additional GPUs across 4 new racks. Deployment timeline: 8 weeks to full production.,VP Engineering,0.3,phone,30,,csv_import
332002,2026-02-11,milestone,First 2 expansion racks commissioned and online. GPU utilization drops from 88% to 68% as capacity doubles. Training job queues clear immediately. Performance metrics normalize across the board.,VP Engineering,0.2,slack,30,,csv_import
332002,2026-03-01,milestone,"All 4 expansion racks commissioned. Full deployment complete. VP Engineering presents expansion success to board, crediting CS partnership. Account health at 88, expansion probability resets for next cycle.",VP Engineering,0.15,in_person,45,,csv_import
332003,2025-06-28,meeting,QBR with CTO and VP Engineering reviews current infrastructure health and AI roadmap. VP Engineering shares plans to onboard 3 new ML teams.,VP Engineering,0.1,phone,45,,csv_import
332003,2025-07-11,decision,VP Engineering proposes POC for new large-language-model fine-tuning workloads on existing GPU cluster. CSM facilitates architecture review to ensure success.,VP Engineering,0.15,phone,90,,csv_import
332003,2025-07-31,milestone,POC workloads deployed successfully. GPU utilization climbs from 55% to 62%. VP Engineering reports positive results to CTO.,VP Engineering,0.1,phone,45,,csv_import
332003,2025-08-29,signal,GPU utilization crosses 70% for the first time. Workload Diversity Score increases to 4 distinct workload types. AI platform showing strong adoption.,VP Engineering,0.1,slack,60,,csv_import
332003,2025-09-13,milestone,GPU utilization hits 75% -- the key expansion threshold. Capacity utilization at 78%. Training job completion rate holds strong at 93%. Champion's teams are scaling rapidly.,VP Engineering,0.15,phone,90,,csv_import
332003,2025-10-01,meeting,CSM-led capacity planning session with VP Engineering and Infrastructure Director. Show capacity runway depletes in 10 weeks at current growth rate. Champion agrees to raise expansion budget request.,VP Engineering,0.1,in_person,45,,csv_import
332003,2025-10-22,signal,GPU utilization hits 85%. Training job completion rate drops to 82% as jobs queue for resources. Inference latency (P95) climbs from 40ms to 65ms. First complaints from ML teams.,VP Engineering,-0.15,email,30,,csv_import
332003,2025-11-09,incident,Critical GPU memory exhaustion incident. Two production inference endpoints go down for 3 hours. Thermal management score degrades as GPUs run at sustained high load. Infrastructure Director raises concerns about reliability.,VP Engineering,-0.25,phone,45,,csv_import
332003,2025-11-23,escalation,"VP Engineering escalates to CTO: current infrastructure cannot support AI roadmap. Without expansion, 2 planned ML projects will be delayed 6 months. CTO requests expansion proposal within 2 weeks.",VP Engineering,-0.1,in_person,30,,csv_import
332003,2025-12-17,decision,CTO approves $5.2M expansion budget. Infrastructure Director begins procurement process. CSM provides detailed sizing recommendation based on workload growth projections.,VP Engineering,0.2,video_call,45,,csv_import
332003,2025-12-31,meeting,Technical deep-dive with Infrastructure Director on expansion architecture. CSM arranges reference call with similar customer who expanded successfully. Pricing negotiation begins.,VP Engineering,0.15,video_call,60,,csv_import
332003,2026-01-07,milestone,Interim GPU scheduling optimization deployed. Training job completion rate recovers to 88%. Inference latency improves to 52ms. Demonstrates CS team's ability to deliver value under pressure.,VP Engineering,0.1,phone,45,,csv_import
332003,2026-01-30,decision,Infrastructure Director signs $5.2M expansion purchase order. 128 additional GPUs across 4 new racks. Deployment timeline: 8 weeks to full production.,VP Engineering,0.3,slack,45,,csv_import
332003,2026-02-15,milestone,First 2 expansion racks commissioned and online. GPU utilization drops from 88% to 68% as capacity doubles. Training job queues clear immediately. Performance metrics normalize across the board.,VP Engineering,0.2,in_person,90,,csv_import
332003,2026-02-26,milestone,"All 4 expansion racks commissioned. Full deployment complete. VP Engineering presents expansion success to board, crediting CS partnership. Account health at 88, expansion probability resets for next cycle.",VP Engineering,0.15,slack,90,,csv_import
332004,2025-06-26,meeting,QBR with CTO and VP Engineering reviews current infrastructure health and AI roadmap. VP Engineering shares plans to onboard 3 new ML teams.,VP Engineering,0.1,video_call,30,,csv_import
332004,2025-07-12,decision,VP Engineering proposes POC for new large-language-model fine-tuning workloads on existing GPU cluster. CSM facilitates architecture review to ensure success.,VP Engineering,0.15,email,90,,csv_import
332004,2025-08-02,milestone,POC workloads deployed successfully. GPU utilization climbs from 55% to 62%. VP Engineering reports positive results to CTO.,VP Engineering,0.1,slack,30,,csv_import
332004,2025-08-27,signal,GPU utilization crosses 70% for the first time. Workload Diversity Score increases to 4 distinct workload types. AI platform showing strong adoption.,VP Engineering,0.1,video_call,90,,csv_import
332004,2025-09-12,milestone,GPU utilization hits 75% -- the key expansion threshold. Capacity utilization at 78%. Training job completion rate holds strong at 93%. Champion's teams are scaling rapidly.,VP Engineering,0.15,video_call,45,,csv_import
332004,2025-10-02,meeting,CSM-led capacity planning session with VP Engineering and Infrastructure Director. Show capacity runway depletes in 10 weeks at current growth rate. Champion agrees to raise expansion budget request.,VP Engineering,0.1,in_person,90,,csv_import
332004,2025-10-23,signal,GPU utilization hits 85%. Training job completion rate drops to 82% as jobs queue for resources. Inference latency (P95) climbs from 40ms to 65ms. First complaints from ML teams.,VP Engineering,-0.15,slack,45,,csv_import
332004,2025-11-07,incident,Critical GPU memory exhaustion incident. Two production inference endpoints go down for 3 hours. Thermal management score degrades as GPUs run at sustained high load. Infrastructure Director raises concerns about reliability.,VP Engineering,-0.25,slack,45,,csv_import
332004,2025-11-19,escalation,"VP Engineering escalates to CTO: current infrastructure cannot support AI roadmap. Without expansion, 2 planned ML projects will be delayed 6 months. CTO requests expansion proposal within 2 weeks.",VP Engineering,-0.1,slack,30,,csv_import
332004,2025-12-17,decision,CTO approves $5.2M expansion budget. Infrastructure Director begins procurement process. CSM provides detailed sizing recommendation based on workload growth projections.,VP Engineering,0.2,phone,30,,csv_import
332004,2025-12-31,meeting,Technical deep-dive with Infrastructure Director on expansion architecture. CSM arranges reference call with similar customer who expanded successfully. Pricing negotiation begins.,VP Engineering,0.15,in_person,45,,csv_import
332004,2026-01-10,milestone,Interim GPU scheduling optimization deployed. Training job completion rate recovers to 88%. Inference latency improves to 52ms. Demonstrates CS team's ability to deliver value under pressure.,VP Engineering,0.1,slack,90,,csv_import
332004,2026-01-29,decision,Infrastructure Director signs $5.2M expansion purchase order. 128 additional GPUs across 4 new racks. Deployment timeline: 8 weeks to full production.,VP Engineering,0.3,slack,30,,csv_import
332004,2026-02-12,milestone,First 2 expansion racks commissioned and online. GPU utilization drops from 88% to 68% as capacity doubles. Training job queues clear immediately. Performance metrics normalize across the board.,VP Engineering,0.2,slack,30,,csv_import
332004,2026-02-28,milestone,"All 4 expansion racks commissioned. Full deployment complete. VP Engineering presents expansion success to board, crediting CS partnership. Account health at 88, expansion probability resets for next cycle.",VP Engineering,0.15,email,90,,csv_import
332005,2025-06-27,meeting,QBR with CTO and VP Engineering reviews current infrastructure health and AI roadmap. VP Engineering shares plans to onboard 3 new ML teams.,VP Engineering,0.1,slack,90,,csv_import
332005,2025-07-10,decision,VP Engineering proposes POC for new large-language-model fine-tuning workloads on existing GPU cluster. CSM facilitates architecture review to ensure success.,VP Engineering,0.15,in_person,60,,csv_import
332005,2025-07-31,milestone,POC workloads deployed successfully. GPU utilization climbs from 55% to 62%. VP Engineering reports positive results to CTO.,VP Engineering,0.1,video_call,30,,csv_import
332005,2025-08-29,signal,GPU utilization crosses 70% for the first time. Workload Diversity Score increases to 4 distinct workload types. AI platform showing strong adoption.,VP Engineering,0.1,video_call,30,,csv_import
332005,2025-09-14,milestone,GPU utilization hits 75% -- the key expansion threshold. Capacity utilization at 78%. Training job completion rate holds strong at 93%. Champion's teams are scaling rapidly.,VP Engineering,0.15,slack,45,,csv_import
332005,2025-10-01,meeting,CSM-led capacity planning session with VP Engineering and Infrastructure Director. Show capacity runway depletes in 10 weeks at current growth rate. Champion agrees to raise expansion budget request.,VP Engineering,0.1,phone,30,,csv_import
332005,2025-10-23,signal,GPU utilization hits 85%. Training job completion rate drops to 82% as jobs queue for resources. Inference latency (P95) climbs from 40ms to 65ms. First complaints from ML teams.,VP Engineering,-0.15,video_call,30,,csv_import
332005,2025-11-06,incident,Critical GPU memory exhaustion incident. Two production inference endpoints go down for 3 hours. Thermal management score degrades as GPUs run at sustained high load. Infrastructure Director raises concerns about reliability.,VP Engineering,-0.25,slack,30,,csv_import
332005,2025-11-23,escalation,"VP Engineering escalates to CTO: current infrastructure cannot support AI roadmap. Without expansion, 2 planned ML projects will be delayed 6 months. CTO requests expansion proposal within 2 weeks.",VP Engineering,-0.1,in_person,30,,csv_import
332005,2025-12-21,decision,CTO approves $5.2M expansion budget. Infrastructure Director begins procurement process. CSM provides detailed sizing recommendation based on workload growth projections.,VP Engineering,0.2,video_call,90,,csv_import
332005,2026-01-04,meeting,Technical deep-dive with Infrastructure Director on expansion architecture. CSM arranges reference call with similar customer who expanded successfully. Pricing negotiation begins.,VP Engineering,0.15,phone,60,,csv_import
332005,2026-01-09,milestone,Interim GPU scheduling optimization deployed. Training job completion rate recovers to 88%. Inference latency improves to 52ms. Demonstrates CS team's ability to deliver value under pressure.,VP Engineering,0.1,in_person,60,,csv_import
332005,2026-01-29,decision,Infrastructure Director signs $5.2M expansion purchase order. 128 additional GPUs across 4 new racks. Deployment timeline: 8 weeks to full production.,VP Engineering,0.3,email,90,,csv_import
332005,2026-02-12,milestone,First 2 expansion racks commissioned and online. GPU utilization drops from 88% to 68% as capacity doubles. Training job queues clear immediately. Performance metrics normalize across the board.,VP Engineering,0.2,email,90,,csv_import
332005,2026-02-27,milestone,"All 4 expansion racks commissioned. Full deployment complete. VP Engineering presents expansion success to board, crediting CS partnership. Account health at 88, expansion probability resets for next cycle.",VP Engineering,0.15,video_call,30,,csv_import
332006,2025-06-28,meeting,QBR with CTO and VP Engineering reviews current infrastructure health and AI roadmap. VP Engineering shares plans to onboard 3 new ML teams.,VP Engineering,0.1,phone,30,,csv_import
332006,2025-07-09,decision,VP Engineering proposes POC for new large-language-model fine-tuning workloads on existing GPU cluster. CSM facilitates architecture review to ensure success.,VP Engineering,0.15,phone,45,,csv_import
332006,2025-08-03,milestone,POC workloads deployed successfully. GPU utilization climbs from 55% to 62%. VP Engineering reports positive results to CTO.,VP Engineering,0.1,email,45,,csv_import
332006,2025-08-29,signal,GPU utilization crosses 70% for the first time. Workload Diversity Score increases to 4 distinct workload types. AI platform showing strong adoption.,VP Engineering,0.1,video_call,45,,csv_import
332006,2025-09-12,milestone,GPU utilization hits 75% -- the key expansion threshold. Capacity utilization at 78%. Training job completion rate holds strong at 93%. Champion's teams are scaling rapidly.,VP Engineering,0.15,email,45,,csv_import
332006,2025-10-04,meeting,CSM-led capacity planning session with VP Engineering and Infrastructure Director. Show capacity runway depletes in 10 weeks at current growth rate. Champion agrees to raise expansion budget request.,VP Engineering,0.1,phone,60,,csv_import
332006,2025-10-26,signal,GPU utilization hits 85%. Training job completion rate drops to 82% as jobs queue for resources. Inference latency (P95) climbs from 40ms to 65ms. First complaints from ML teams.,VP Engineering,-0.15,phone,30,,csv_import
332006,2025-11-09,incident,Critical GPU memory exhaustion incident. Two production inference endpoints go down for 3 hours. Thermal management score degrades as GPUs run at sustained high load. Infrastructure Director raises concerns about reliability.,VP Engineering,-0.25,email,30,,csv_import
332006,2025-11-20,escalation,"VP Engineering escalates to CTO: current infrastructure cannot support AI roadmap. Without expansion, 2 planned ML projects will be delayed 6 months. CTO requests expansion proposal within 2 weeks.",VP Engineering,-0.1,email,30,,csv_import
332006,2025-12-17,decision,CTO approves $5.2M expansion budget. Infrastructure Director begins procurement process. CSM provides detailed sizing recommendation based on workload growth projections.,VP Engineering,0.2,phone,45,,csv_import
332006,2026-01-02,meeting,Technical deep-dive with Infrastructure Director on expansion architecture. CSM arranges reference call with similar customer who expanded successfully. Pricing negotiation begins.,VP Engineering,0.15,email,45,,csv_import
332006,2026-01-09,milestone,Interim GPU scheduling optimization deployed. Training job completion rate recovers to 88%. Inference latency improves to 52ms. Demonstrates CS team's ability to deliver value under pressure.,VP Engineering,0.1,in_person,60,,csv_import
332006,2026-02-01,decision,Infrastructure Director signs $5.2M expansion purchase order. 128 additional GPUs across 4 new racks. Deployment timeline: 8 weeks to full production.,VP Engineering,0.3,slack,60,,csv_import
332006,2026-02-11,milestone,First 2 expansion racks commissioned and online. GPU utilization drops from 88% to 68% as capacity doubles. Training job queues clear immediately. Performance metrics normalize across the board.,VP Engineering,0.2,video_call,90,,csv_import
332006,2026-02-27,milestone,"All 4 expansion racks commissioned. Full deployment complete. VP Engineering presents expansion success to board, crediting CS partnership. Account health at 88, expansion probability resets for next cycle.",VP Engineering,0.15,video_call,30,,csv_import
332007,2025-06-27,meeting,QBR with CTO and VP Engineering reviews current infrastructure health and AI roadmap. VP Engineering shares plans to onboard 3 new ML teams.,VP Engineering,0.1,in_person,60,,csv_import
332007,2025-07-10,decision,VP Engineering proposes POC for new large-language-model fine-tuning workloads on existing GPU cluster. CSM facilitates architecture review to ensure success.,VP Engineering,0.15,slack,90,,csv_import
332007,2025-08-03,milestone,POC workloads deployed successfully. GPU utilization climbs from 55% to 62%. VP Engineering reports positive results to CTO.,VP Engineering,0.1,video_call,30,,csv_import
332007,2025-08-27,signal,GPU utilization crosses 70% for the first time. Workload Diversity Score increases to 4 distinct workload types. AI platform showing strong adoption.,VP Engineering,0.1,in_person,30,,csv_import
332007,2025-09-12,milestone,GPU utilization hits 75% -- the key expansion threshold. Capacity utilization at 78%. Training job completion rate holds strong at 93%. Champion's teams are scaling rapidly.,VP Engineering,0.15,phone,45,,csv_import
332007,2025-10-04,meeting,CSM-led capacity planning session with VP Engineering and Infrastructure Director. Show capacity runway depletes in 10 weeks at current growth rate. Champion agrees to raise expansion budget request.,VP Engineering,0.1,in_person,30,,csv_import
332007,2025-10-24,signal,GPU utilization hits 85%. Training job completion rate drops to 82% as jobs queue for resources. Inference latency (P95) climbs from 40ms to 65ms. First complaints from ML teams.,VP Engineering,-0.15,email,30,,csv_import
332007,2025-11-07,incident,Critical GPU memory exhaustion incident. Two production inference endpoints go down for 3 hours. Thermal management score degrades as GPUs run at sustained high load. Infrastructure Director raises concerns about reliability.,VP Engineering,-0.25,in_person,45,,csv_import
332007,2025-11-19,escalation,"VP Engineering escalates to CTO: current infrastructure cannot support AI roadmap. Without expansion, 2 planned ML projects will be delayed 6 months. CTO requests expansion proposal within 2 weeks.",VP Engineering,-0.1,email,90,,csv_import
332007,2025-12-21,decision,CTO approves $5.2M expansion budget. Infrastructure Director begins procurement process. CSM provides detailed sizing recommendation based on workload growth projections.,VP Engineering,0.2,in_person,45,,csv_import
332007,2026-01-01,meeting,Technical deep-dive with Infrastructure Director on expansion architecture. CSM arranges reference call with similar customer who expanded successfully. Pricing negotiation begins.,VP Engineering,0.15,in_person,90,,csv_import
332007,2026-01-07,milestone,Interim GPU scheduling optimization deployed. Training job completion rate recovers to 88%. Inference latency improves to 52ms. Demonstrates CS team's ability to deliver value under pressure.,VP Engineering,0.1,in_person,60,,csv_import
332007,2026-01-31,decision,Infrastructure Director signs $5.2M expansion purchase order. 128 additional GPUs across 4 new racks. Deployment timeline: 8 weeks to full production.,VP Engineering,0.3,in_person,60,,csv_import
332007,2026-02-12,milestone,First 2 expansion racks commissioned and online. GPU utilization drops from 88% to 68% as capacity doubles. Training job queues clear immediately. Performance metrics normalize across the board.,VP Engineering,0.2,video_call,90,,csv_import
332007,2026-02-25,milestone,"All 4 expansion racks commissioned. Full deployment complete. VP Engineering presents expansion success to board, crediting CS partnership. Account health at 88, expansion probability resets for next cycle.",VP Engineering,0.15,slack,45,,csv_import
332008,2025-06-26,meeting,QBR with CTO and VP Engineering reviews current infrastructure health and AI roadmap. VP Engineering shares plans to onboard 3 new ML teams.,VP Engineering,0.1,slack,60,,csv_import
332008,2025-07-11,decision,VP Engineering proposes POC for new large-language-model fine-tuning workloads on existing GPU cluster. CSM facilitates architecture review to ensure success.,VP Engineering,0.15,in_person,45,,csv_import
332008,2025-07-30,milestone,POC workloads deployed successfully. GPU utilization climbs from 55% to 62%. VP Engineering reports positive results to CTO.,VP Engineering,0.1,in_person,90,,csv_import
332008,2025-08-29,signal,GPU utilization crosses 70% for the first time. Workload Diversity Score increases to 4 distinct workload types. AI platform showing strong adoption.,VP Engineering,0.1,email,30,,csv_import
332008,2025-09-12,milestone,GPU utilization hits 75% -- the key expansion threshold. Capacity utilization at 78%. Training job completion rate holds strong at 93%. Champion's teams are scaling rapidly.,VP Engineering,0.15,email,90,,csv_import
332008,2025-10-05,meeting,CSM-led capacity planning session with VP Engineering and Infrastructure Director. Show capacity runway depletes in 10 weeks at current growth rate. Champion agrees to raise expansion budget request.,VP Engineering,0.1,email,30,,csv_import
332008,2025-10-22,signal,GPU utilization hits 85%. Training job completion rate drops to 82% as jobs queue for resources. Inference latency (P95) climbs from 40ms to 65ms. First complaints from ML teams.,VP Engineering,-0.15,email,45,,csv_import
332008,2025-11-09,incident,Critical GPU memory exhaustion incident. Two production inference endpoints go down for 3 hours. Thermal management score degrades as GPUs run at sustained high load. Infrastructure Director raises concerns about reliability.,VP Engineering,-0.25,email,30,,csv_import
332008,2025-11-19,escalation,"VP Engineering escalates to CTO: current infrastructure cannot support AI roadmap. Without expansion, 2 planned ML projects will be delayed 6 months. CTO requests expansion proposal within 2 weeks.",VP Engineering,-0.1,phone,90,,csv_import
332008,2025-12-19,decision,CTO approves $5.2M expansion budget. Infrastructure Director begins procurement process. CSM provides detailed sizing recommendation based on workload growth projections.,VP Engineering,0.2,email,90,,csv_import
332008,2026-01-04,meeting,Technical deep-dive with Infrastructure Director on expansion architecture. CSM arranges reference call with similar customer who expanded successfully. Pricing negotiation begins.,VP Engineering,0.15,phone,30,,csv_import
332008,2026-01-10,milestone,Interim GPU scheduling optimization deployed. Training job completion rate recovers to 88%. Inference latency improves to 52ms. Demonstrates CS team's ability to deliver value under pressure.,VP Engineering,0.1,phone,45,,csv_import
332008,2026-01-30,decision,Infrastructure Director signs $5.2M expansion purchase order. 128 additional GPUs across 4 new racks. Deployment timeline: 8 weeks to full production.,VP Engineering,0.3,video_call,90,,csv_import
332008,2026-02-11,milestone,First 2 expansion racks commissioned and online. GPU utilization drops from 88% to 68% as capacity doubles. Training job queues clear immediately. Performance metrics normalize across the board.,VP Engineering,0.2,phone,45,,csv_import
332008,2026-02-27,milestone,"All 4 expansion racks commissioned. Full deployment complete. VP Engineering presents expansion success to board, crediting CS partnership. Account health at 88, expansion probability resets for next cycle.",VP Engineering,0.15,slack,30,,csv_import
332009,2025-06-27,meeting,QBR with CTO and VP Engineering reviews current infrastructure health and AI roadmap. VP Engineering shares plans to onboard 3 new ML teams.,VP Engineering,0.1,phone,60,,csv_import
332009,2025-07-09,decision,VP Engineering proposes POC for new large-language-model fine-tuning workloads on existing GPU cluster. CSM facilitates architecture review to ensure success.,VP Engineering,0.15,email,60,,csv_import
332009,2025-08-02,milestone,POC workloads deployed successfully. GPU utilization climbs from 55% to 62%. VP Engineering reports positive results to CTO.,VP Engineering,0.1,email,90,,csv_import
332009,2025-08-29,signal,GPU utilization crosses 70% for the first time. Workload Diversity Score increases to 4 distinct workload types. AI platform showing strong adoption.,VP Engineering,0.1,phone,45,,csv_import
332009,2025-09-11,milestone,GPU utilization hits 75% -- the key expansion threshold. Capacity utilization at 78%. Training job completion rate holds strong at 93%. Champion's teams are scaling rapidly.,VP Engineering,0.15,slack,90,,csv_import
332009,2025-10-02,meeting,CSM-led capacity planning session with VP Engineering and Infrastructure Director. Show capacity runway depletes in 10 weeks at current growth rate. Champion agrees to raise expansion budget request.,VP Engineering,0.1,phone,60,,csv_import
332009,2025-10-25,signal,GPU utilization hits 85%. Training job completion rate drops to 82% as jobs queue for resources. Inference latency (P95) climbs from 40ms to 65ms. First complaints from ML teams.,VP Engineering,-0.15,phone,30,,csv_import
332009,2025-11-07,incident,Critical GPU memory exhaustion incident. Two production inference endpoints go down for 3 hours. Thermal management score degrades as GPUs run at sustained high load. Infrastructure Director raises concerns about reliability.,VP Engineering,-0.25,email,45,,csv_import
332009,2025-11-22,escalation,"VP Engineering escalates to CTO: current infrastructure cannot support AI roadmap. Without expansion, 2 planned ML projects will be delayed 6 months. CTO requests expansion proposal within 2 weeks.",VP Engineering,-0.1,phone,60,,csv_import
332009,2025-12-20,decision,CTO approves $5.2M expansion budget. Infrastructure Director begins procurement process. CSM provides detailed sizing recommendation based on workload growth projections.,VP Engineering,0.2,slack,90,,csv_import
332009,2026-01-01,meeting,Technical deep-dive with Infrastructure Director on expansion architecture. CSM arranges reference call with similar customer who expanded successfully. Pricing negotiation begins.,VP Engineering,0.15,phone,90,,csv_import
332009,2026-01-08,milestone,Interim GPU scheduling optimization deployed. Training job completion rate recovers to 88%. Inference latency improves to 52ms. Demonstrates CS team's ability to deliver value under pressure.,VP Engineering,0.1,video_call,60,,csv_import
332009,2026-02-01,decision,Infrastructure Director signs $5.2M expansion purchase order. 128 additional GPUs across 4 new racks. Deployment timeline: 8 weeks to full production.,VP Engineering,0.3,phone,60,,csv_import
332009,2026-02-11,milestone,First 2 expansion racks commissioned and online. GPU utilization drops from 88% to 68% as capacity doubles. Training job queues clear immediately. Performance metrics normalize across the board.,VP Engineering,0.2,in_person,60,,csv_import
332009,2026-02-26,milestone,"All 4 expansion racks commissioned. Full deployment complete. VP Engineering presents expansion success to board, crediting CS partnership. Account health at 88, expansion probability resets for next cycle.",VP Engineering,0.15,in_person,45,,csv_import
332010,2025-06-25,meeting,QBR with CTO and VP Engineering reviews current infrastructure health and AI roadmap. VP Engineering shares plans to onboard 3 new ML teams.,VP Engineering,0.1,video_call,45,,csv_import
332010,2025-07-12,decision,VP Engineering proposes POC for new large-language-model fine-tuning workloads on existing GPU cluster. CSM facilitates architecture review to ensure success.,VP Engineering,0.15,phone,30,,csv_import
332010,2025-08-02,milestone,POC workloads deployed successfully. GPU utilization climbs from 55% to 62%. VP Engineering reports positive results to CTO.,VP Engineering,0.1,slack,45,,csv_import
332010,2025-08-30,signal,GPU utilization crosses 70% for the first time. Workload Diversity Score increases to 4 distinct workload types. AI platform showing strong adoption.,VP Engineering,0.1,slack,90,,csv_import
332010,2025-09-11,milestone,GPU utilization hits 75% -- the key expansion threshold. Capacity utilization at 78%. Training job completion rate holds strong at 93%. Champion's teams are scaling rapidly.,VP Engineering,0.15,in_person,30,,csv_import
332010,2025-10-01,meeting,CSM-led capacity planning session with VP Engineering and Infrastructure Director. Show capacity runway depletes in 10 weeks at current growth rate. Champion agrees to raise expansion budget request.,VP Engineering,0.1,slack,45,,csv_import
