signal_id,account_id,signal_date,signal_type,content,sentiment,sentiment_score
sig_296001_0019,296001,2024-08-11,milestone,Customer achieved 99.9% uptime target for the first time this quarter.,positive,0.91
sig_296001_0020,296001,2024-08-11,meeting,Expansion discussion: customer evaluating additional rack capacity for Q3 growth.,positive,0.86
sig_296001_0021,296001,2024-09-16,meeting,QBR held — customer reported improved deployment times and wants to expand AI workloads.,positive,0.57
sig_296001_0022,296001,2024-09-16,customer_feedback,Champion Sarah Johnson confirmed renewal intent and requested pricing for GPU cluster expansion.,positive,0.8
sig_296001_0023,296001,2024-09-16,customer_feedback,Support ticket satisfaction: 4.5/5 — team resolved batch processing issue within SLA.,positive,0.45
sig_296001_0024,296001,2024-10-09,meeting,Expansion discussion: customer evaluating additional rack capacity for Q4 growth.,positive,0.5
sig_296001_0025,296001,2024-10-09,customer_feedback,Champion Sarah Johnson confirmed renewal intent and requested pricing for GPU cluster expansion.,positive,0.85
sig_296001_0026,296001,2024-11-24,meeting,QBR held — customer reported improved deployment times and wants to expand AI workloads.,positive,0.76
sig_296001_0027,296001,2024-11-24,meeting,QBR held — customer reported improved deployment times and wants to expand AI workloads.,positive,0.55
sig_296001_0028,296001,2024-11-24,customer_feedback,Champion Sarah Johnson confirmed renewal intent and requested pricing for GPU cluster expansion.,positive,0.8
sig_296001_0029,296001,2024-12-07,customer_feedback,Champion Sarah Johnson confirmed renewal intent and requested pricing for GPU cluster expansion.,positive,0.64
sig_296001_0030,296001,2024-12-07,meeting,Expansion discussion: customer evaluating additional rack capacity for Q4 growth.,positive,0.86
sig_296001_0031,296001,2024-12-07,incident,Minor network latency spike detected; auto-resolved within 15 minutes. No customer impact.,neutral,0.04
sig_296002_0032,296002,2024-01-08,meeting,Stakeholder check-in: no open issues. Discussed roadmap for next quarter.,neutral,0.13
sig_296002_0033,296002,2024-01-08,customer_feedback,"Feedback form: ""Service meets expectations. Would like more proactive reporting.""",neutral,0.18
sig_296002_0034,296002,2024-02-27,customer_feedback,"Feedback form: ""Service meets expectations. Would like more proactive reporting.""",neutral,0.11
sig_296002_0035,296002,2024-02-27,incident,Scheduled maintenance window completed successfully. All systems nominal.,neutral,0.2
sig_296002_0036,296002,2024-02-27,meeting,Stakeholder check-in: no open issues. Discussed roadmap for next quarter.,neutral,0.24
sig_296002_0037,296002,2024-03-10,incident,Scheduled maintenance window completed successfully. All systems nominal.,neutral,0.13
sig_296002_0038,296002,2024-03-10,health_check,"Quarterly review: GPU utilization stable at ~75%, power efficiency on target.",neutral,0.22
sig_296002_0039,296002,2024-03-10,milestone,Contract renewal processed — 12-month extension at current terms.,positive,0.51
sig_296002_0040,296002,2024-04-05,meeting,Monthly sync — customer satisfied with current service levels. No escalations.,neutral,0.36
sig_296002_0041,296002,2024-04-05,milestone,Contract renewal processed — 12-month extension at current terms.,positive,0.43
sig_296002_0042,296002,2024-05-04,milestone,Contract renewal processed — 12-month extension at current terms.,positive,0.36
sig_296002_0043,296002,2024-05-04,incident,Scheduled maintenance window completed successfully. All systems nominal.,neutral,0.03
sig_296002_0044,296002,2024-06-16,meeting,Monthly sync — customer satisfied with current service levels. No escalations.,neutral,0.26
sig_296002_0045,296002,2024-06-16,customer_feedback,NPS survey: Score steady at 9/10. Customer values reliability.,neutral,0.17
sig_296002_0046,296002,2024-06-16,customer_feedback,NPS survey: Score steady at 6/10. Customer values reliability.,neutral,0.39
sig_296002_0047,296002,2024-07-04,meeting,Monthly sync — customer satisfied with current service levels. No escalations.,neutral,0.36
sig_296002_0048,296002,2024-07-04,milestone,Contract renewal processed — 12-month extension at current terms.,positive,0.37
sig_296002_0049,296002,2024-07-04,milestone,Contract renewal processed — 12-month extension at current terms.,positive,0.57
sig_296002_0050,296002,2024-08-03,health_check,Routine health check: all KPIs within healthy ranges. No action required.,neutral,0.13
sig_296002_0051,296002,2024-08-03,meeting,Monthly sync — customer satisfied with current service levels. No escalations.,neutral,0.32
sig_296002_0052,296002,2024-08-03,health_check,Routine health check: all KPIs within healthy ranges. No action required.,neutral,0.1
sig_296002_0053,296002,2024-09-05,customer_feedback,NPS survey: Score steady at 8/10. Customer values reliability.,neutral,0.35
sig_296002_0054,296002,2024-09-05,milestone,Contract renewal processed — 12-month extension at current terms.,positive,0.48
sig_296002_0055,296002,2024-09-05,customer_feedback,"Feedback form: ""Service meets expectations. Would like more proactive reporting.""",neutral,0.16
sig_296002_0056,296002,2024-10-26,customer_feedback,NPS survey: Score steady at 9/10. Customer values reliability.,neutral,0.24
sig_296002_0057,296002,2024-10-26,customer_feedback,NPS survey: Score steady at 5/10. Customer values reliability.,neutral,0.38
sig_296002_0058,296002,2024-11-08,meeting,Stakeholder check-in: no open issues. Discussed roadmap for next quarter.,neutral,0.38
sig_296002_0059,296002,2024-11-08,customer_feedback,"Feedback form: ""Service meets expectations. Would like more proactive reporting.""",neutral,0.24
sig_296002_0060,296002,2024-11-08,customer_feedback,"Feedback form: ""Service meets expectations. Would like more proactive reporting.""",neutral,0.06
sig_296002_0061,296002,2024-12-15,meeting,Stakeholder check-in: no open issues. Discussed roadmap for next quarter.,neutral,0.18
sig_296002_0062,296002,2024-12-15,incident,Scheduled maintenance window completed successfully. All systems nominal.,neutral,0.09
sig_296002_0063,296002,2024-12-15,customer_feedback,NPS survey: Score steady at 6/10. Customer values reliability.,neutral,0.16
sig_296003_0064,296003,2024-01-07,meeting,"QBR cancelled by customer — cited ""lack of visible improvement"" in service quality.",negative,-0.5
sig_296003_0065,296003,2024-01-07,incident,Critical: GPU cluster outage lasted 5h. Customer escalated to VP level.,negative,-0.85
sig_296003_0066,296003,2024-02-20,customer_feedback,NPS score dropped from 4 to 5. Customer cited repeated provisioning delays.,negative,-0.32
sig_296003_0067,296003,2024-02-20,customer_feedback,Champion Sarah Johnson expressed frustration with batch throughput degradation.,negative,-0.35
sig_296003_0068,296003,2024-03-16,customer_feedback,NPS score dropped from 7 to 3. Customer cited repeated provisioning delays.,negative,-0.59
sig_296003_0069,296003,2024-03-16,incident,SLA breach: network latency exceeded threshold for 4h. Root cause under investigation.,negative,-0.6
sig_296003_0070,296003,2024-04-22,customer_feedback,Support satisfaction: 2.1/5. Customer requests executive-level engagement.,negative,-0.85
sig_296003_0071,296003,2024-04-22,meeting,Emergency call: customer threatened to evaluate competitors due to ongoing RMA issues.,negative,-0.43
sig_296003_0072,296003,2024-05-07,customer_feedback,Champion Sarah Johnson expressed frustration with batch throughput degradation.,negative,-0.53
sig_296003_0073,296003,2024-05-07,incident,SLA breach: network latency exceeded threshold for 8h. Root cause under investigation.,negative,-0.8
sig_296003_0074,296003,2024-05-07,meeting,"QBR cancelled by customer — cited ""lack of visible improvement"" in service quality.",negative,-0.43
sig_296003_0075,296003,2024-06-25,health_check,Health review flagged declining PUE and rising support ticket volume.,negative,-0.3
sig_296003_0076,296003,2024-06-25,customer_feedback,Champion Sarah Johnson expressed frustration with batch throughput degradation.,negative,-0.42
sig_296003_0077,296003,2024-07-11,health_check,Health review flagged declining PUE and rising support ticket volume.,negative,-0.48
sig_296003_0078,296003,2024-07-11,health_check,Health review flagged declining PUE and rising support ticket volume.,negative,-0.55
sig_296003_0079,296003,2024-08-19,incident,SLA breach: network latency exceeded threshold for 6h. Root cause under investigation.,negative,-0.69
sig_296003_0080,296003,2024-08-19,meeting,"QBR cancelled by customer — cited ""lack of visible improvement"" in service quality.",negative,-0.6
sig_296003_0081,296003,2024-08-19,meeting,Emergency call: customer threatened to evaluate competitors due to ongoing RMA issues.,negative,-0.65
sig_296003_0082,296003,2024-09-28,meeting,Emergency call: customer threatened to evaluate competitors due to ongoing RMA issues.,negative,-0.62
sig_296003_0083,296003,2024-09-28,customer_feedback,NPS score dropped from 6 to 2. Customer cited repeated provisioning delays.,negative,-0.42
sig_296003_0084,296003,2024-10-06,meeting,"QBR cancelled by customer — cited ""lack of visible improvement"" in service quality.",negative,-0.5
sig_296003_0085,296003,2024-10-06,customer_feedback,Support satisfaction: 2.1/5. Customer requests executive-level engagement.,negative,-0.71
sig_296003_0086,296003,2024-10-06,meeting,Emergency call: customer threatened to evaluate competitors due to ongoing RMA issues.,negative,-0.54
sig_296003_0087,296003,2024-11-23,incident,Critical: GPU cluster outage lasted 2h. Customer escalated to VP level.,negative,-0.67
sig_296003_0088,296003,2024-11-23,customer_feedback,NPS score dropped from 4 to 4. Customer cited repeated provisioning delays.,negative,-0.77
sig_296003_0089,296003,2024-11-23,health_check,Health review flagged declining PUE and rising support ticket volume.,negative,-0.28
sig_296003_0090,296003,2024-12-02,customer_feedback,Champion Sarah Johnson expressed frustration with batch throughput degradation.,negative,-0.62
sig_296003_0091,296003,2024-12-02,incident,Critical: GPU cluster outage lasted 5h. Customer escalated to VP level.,negative,-0.79
sig_296004_0092,296004,2024-01-03,customer_feedback,Support ticket satisfaction: 4.5/5 — team resolved batch processing issue within SLA.,positive,0.67
sig_296004_0093,296004,2024-01-03,incident,Minor network latency spike detected; auto-resolved within 15 minutes. No customer impact.,neutral,0.14
sig_296004_0094,296004,2024-01-03,customer_feedback,NPS survey response: Score improved from 7 to 7. Customer praised faster GPU provisioning.,positive,0.68
sig_296004_0095,296004,2024-02-09,customer_feedback,Support ticket satisfaction: 4.5/5 — team resolved batch processing issue within SLA.,positive,0.78
sig_296004_0096,296004,2024-02-09,customer_feedback,Champion David Kumar confirmed renewal intent and requested pricing for GPU cluster expansion.,positive,0.9
sig_296004_0097,296004,2024-02-09,customer_feedback,Support ticket satisfaction: 4.5/5 — team resolved batch processing issue within SLA.,positive,0.55
sig_296004_0098,296004,2024-03-21,meeting,QBR held — customer reported improved deployment times and wants to expand AI workloads.,positive,0.52
sig_296004_0099,296004,2024-03-21,customer_feedback,Support ticket satisfaction: 4.5/5 — team resolved batch processing issue within SLA.,positive,0.59
sig_296004_0100,296004,2024-04-23,customer_feedback,NPS survey response: Score improved from 4 to 5. Customer praised faster GPU provisioning.,positive,0.65
sig_296004_0101,296004,2024-04-23,milestone,Customer achieved 99.9% uptime target for the first time this quarter.,positive,0.8
sig_296004_0102,296004,2024-05-14,milestone,Customer achieved 99.9% uptime target for the first time this quarter.,positive,0.9
sig_296004_0103,296004,2024-05-14,health_check,"Proactive health review: RMA rates declining, PUE improving toward target.",positive,0.4
sig_296004_0104,296004,2024-05-14,customer_feedback,NPS survey response: Score improved from 6 to 7. Customer praised faster GPU provisioning.,positive,0.51
sig_296004_0105,296004,2024-06-01,customer_feedback,Champion David Kumar confirmed renewal intent and requested pricing for GPU cluster expansion.,positive,0.65
sig_296004_0106,296004,2024-06-01,health_check,"Proactive health review: RMA rates declining, PUE improving toward target.",positive,0.37
sig_296004_0107,296004,2024-06-01,customer_feedback,Champion David Kumar confirmed renewal intent and requested pricing for GPU cluster expansion.,positive,0.81
sig_296004_0108,296004,2024-07-12,customer_feedback,NPS survey response: Score improved from 4 to 8. Customer praised faster GPU provisioning.,positive,0.85
sig_296004_0109,296004,2024-07-12,meeting,Expansion discussion: customer evaluating additional rack capacity for Q3 growth.,positive,0.81
sig_296004_0110,296004,2024-08-07,milestone,Customer achieved 99.9% uptime target for the first time this quarter.,positive,0.9
sig_296004_0111,296004,2024-08-07,health_check,"Proactive health review: RMA rates declining, PUE improving toward target.",positive,0.37
sig_296004_0112,296004,2024-08-07,health_check,"Proactive health review: RMA rates declining, PUE improving toward target.",positive,0.56
sig_296004_0113,296004,2024-09-03,meeting,QBR held — customer reported improved deployment times and wants to expand AI workloads.,positive,0.62
sig_296004_0114,296004,2024-09-03,customer_feedback,Support ticket satisfaction: 4.5/5 — team resolved batch processing issue within SLA.,positive,0.57
sig_296004_0115,296004,2024-10-13,health_check,"Proactive health review: RMA rates declining, PUE improving toward target.",positive,0.32
sig_296004_0116,296004,2024-10-13,meeting,QBR held — customer reported improved deployment times and wants to expand AI workloads.,positive,0.52
sig_296004_0117,296004,2024-11-07,customer_feedback,Support ticket satisfaction: 4.5/5 — team resolved batch processing issue within SLA.,positive,0.44
sig_296004_0118,296004,2024-11-07,meeting,QBR held — customer reported improved deployment times and wants to expand AI workloads.,positive,0.71
sig_296004_0119,296004,2024-11-07,customer_feedback,Champion David Kumar confirmed renewal intent and requested pricing for GPU cluster expansion.,positive,0.91
sig_296004_0120,296004,2024-12-22,milestone,Customer achieved 99.9% uptime target for the first time this quarter.,positive,0.64
sig_296004_0121,296004,2024-12-22,health_check,"Proactive health review: RMA rates declining, PUE improving toward target.",positive,0.4
sig_296004_0122,296004,2024-12-22,incident,Minor network latency spike detected; auto-resolved within 15 minutes. No customer impact.,neutral,0.1
sig_296005_0123,296005,2024-01-03,incident,Scheduled maintenance window completed successfully. All systems nominal.,neutral,0.19
sig_296005_0124,296005,2024-01-03,customer_feedback,NPS survey: Score steady at 8/10. Customer values reliability.,neutral,0.24
sig_296005_0125,296005,2024-02-12,meeting,Stakeholder check-in: no open issues. Discussed roadmap for next quarter.,neutral,0.23
sig_296005_0126,296005,2024-02-12,incident,Scheduled maintenance window completed successfully. All systems nominal.,neutral,0.17
sig_296005_0127,296005,2024-02-12,meeting,Monthly sync — customer satisfied with current service levels. No escalations.,neutral,0.29
sig_296005_0128,296005,2024-03-01,customer_feedback,NPS survey: Score steady at 5/10. Customer values reliability.,neutral,0.34
sig_296005_0129,296005,2024-03-01,meeting,Monthly sync — customer satisfied with current service levels. No escalations.,neutral,0.12
sig_296005_0130,296005,2024-04-04,customer_feedback,"Feedback form: ""Service meets expectations. Would like more proactive reporting.""",neutral,0.1
sig_296005_0131,296005,2024-04-04,health_check,"Quarterly review: GPU utilization stable at ~75%, power efficiency on target.",neutral,0.27
sig_296005_0132,296005,2024-05-04,meeting,Monthly sync — customer satisfied with current service levels. No escalations.,neutral,0.38
sig_296005_0133,296005,2024-05-04,milestone,Contract renewal processed — 12-month extension at current terms.,positive,0.34
sig_296005_0134,296005,2024-05-04,health_check,"Quarterly review: GPU utilization stable at ~75%, power efficiency on target.",neutral,0.12
sig_296005_0135,296005,2024-06-14,health_check,Routine health check: all KPIs within healthy ranges. No action required.,neutral,0.19
sig_296005_0136,296005,2024-06-14,health_check,Routine health check: all KPIs within healthy ranges. No action required.,neutral,0.23
sig_296005_0137,296005,2024-06-14,incident,Scheduled maintenance window completed successfully. All systems nominal.,neutral,0.15
sig_296005_0138,296005,2024-07-01,health_check,"Quarterly review: GPU utilization stable at ~75%, power efficiency on target.",neutral,0.12
sig_296005_0139,296005,2024-07-01,customer_feedback,"Feedback form: ""Service meets expectations. Would like more proactive reporting.""",neutral,0.2
sig_296005_0140,296005,2024-07-01,customer_feedback,"Feedback form: ""Service meets expectations. Would like more proactive reporting.""",neutral,0.17
sig_296005_0141,296005,2024-08-19,health_check,Routine health check: all KPIs within healthy ranges. No action required.,neutral,0.18
sig_296005_0142,296005,2024-08-19,meeting,Stakeholder check-in: no open issues. Discussed roadmap for next quarter.,neutral,0.25
sig_296005_0143,296005,2024-08-19,meeting,Stakeholder check-in: no open issues. Discussed roadmap for next quarter.,neutral,0.15
sig_296005_0144,296005,2024-09-04,incident,Scheduled maintenance window completed successfully. All systems nominal.,neutral,0.19
sig_296005_0145,296005,2024-09-04,meeting,Stakeholder check-in: no open issues. Discussed roadmap for next quarter.,neutral,0.23
sig_296005_0146,296005,2024-09-04,health_check,Routine health check: all KPIs within healthy ranges. No action required.,neutral,0.26
sig_296005_0147,296005,2024-10-15,incident,Scheduled maintenance window completed successfully. All systems nominal.,neutral,0.03
sig_296005_0148,296005,2024-10-15,health_check,"Quarterly review: GPU utilization stable at ~75%, power efficiency on target.",neutral,0.14
sig_296005_0149,296005,2024-10-15,meeting,Monthly sync — customer satisfied with current service levels. No escalations.,neutral,0.36
sig_296005_0150,296005,2024-11-24,health_check,"Quarterly review: GPU utilization stable at ~75%, power efficiency on target.",neutral,0.27
sig_296005_0151,296005,2024-11-24,milestone,Contract renewal processed — 12-month extension at current terms.,positive,0.43
sig_296005_0152,296005,2024-12-05,health_check,Routine health check: all KPIs within healthy ranges. No action required.,neutral,-0.09
sig_296005_0153,296005,2024-12-05,meeting,Monthly sync — customer satisfied with current service levels. No escalations.,neutral,0.05
sig_296005_0154,296005,2024-12-05,meeting,Stakeholder check-in: no open issues. Discussed roadmap for next quarter.,neutral,0.26
sig_296006_0155,296006,2024-01-13,customer_feedback,Support satisfaction: 2.1/5. Customer requests executive-level engagement.,negative,-0.83
sig_296006_0156,296006,2024-01-13,customer_feedback,NPS score dropped from 4 to 5. Customer cited repeated provisioning delays.,negative,-0.34
sig_296006_0157,296006,2024-01-13,incident,SLA breach: network latency exceeded threshold for 2h. Root cause under investigation.,negative,-0.76
sig_296006_0158,296006,2024-02-04,customer_feedback,Support satisfaction: 2.1/5. Customer requests executive-level engagement.,negative,-0.68
sig_296006_0159,296006,2024-02-04,customer_feedback,NPS score dropped from 6 to 3. Customer cited repeated provisioning delays.,negative,-0.75
sig_296006_0160,296006,2024-03-13,incident,Critical: GPU cluster outage lasted 6h. Customer escalated to VP level.,negative,-0.57
sig_296006_0161,296006,2024-03-13,customer_feedback,NPS score dropped from 5 to 3. Customer cited repeated provisioning delays.,negative,-0.78
sig_296006_0162,296006,2024-04-21,customer_feedback,Champion Mike Thompson expressed frustration with batch throughput degradation.,negative,-0.43
sig_296006_0163,296006,2024-04-21,meeting,"QBR cancelled by customer — cited ""lack of visible improvement"" in service quality.",negative,-0.51
sig_296006_0164,296006,2024-05-13,customer_feedback,Champion Mike Thompson expressed frustration with batch throughput degradation.,negative,-0.45
sig_296006_0165,296006,2024-05-13,customer_feedback,NPS score dropped from 4 to 5. Customer cited repeated provisioning delays.,negative,-0.43
sig_296006_0166,296006,2024-06-05,incident,Critical: GPU cluster outage lasted 4h. Customer escalated to VP level.,negative,-0.41
sig_296006_0167,296006,2024-06-05,customer_feedback,Champion Mike Thompson expressed frustration with batch throughput degradation.,negative,-0.59
sig_296006_0168,296006,2024-07-16,incident,SLA breach: network latency exceeded threshold for 5h. Root cause under investigation.,negative,-0.62
sig_296006_0169,296006,2024-07-16,meeting,"QBR cancelled by customer — cited ""lack of visible improvement"" in service quality.",negative,-0.52
sig_296006_0170,296006,2024-08-20,customer_feedback,Support satisfaction: 2.1/5. Customer requests executive-level engagement.,negative,-0.62
sig_296006_0171,296006,2024-08-20,customer_feedback,NPS score dropped from 6 to 3. Customer cited repeated provisioning delays.,negative,-0.49
sig_296006_0172,296006,2024-08-20,incident,SLA breach: network latency exceeded threshold for 3h. Root cause under investigation.,negative,-0.59
sig_296006_0173,296006,2024-09-10,customer_feedback,NPS score dropped from 6 to 2. Customer cited repeated provisioning delays.,negative,-0.65
sig_296006_0174,296006,2024-09-10,customer_feedback,NPS score dropped from 6 to 4. Customer cited repeated provisioning delays.,negative,-0.4
sig_296006_0175,296006,2024-10-18,meeting,Emergency call: customer threatened to evaluate competitors due to ongoing RMA issues.,negative,-0.65
sig_296006_0176,296006,2024-10-18,incident,SLA breach: network latency exceeded threshold for 2h. Root cause under investigation.,negative,-0.55
sig_296006_0177,296006,2024-11-16,customer_feedback,NPS score dropped from 4 to 5. Customer cited repeated provisioning delays.,negative,-0.42
sig_296006_0178,296006,2024-11-16,meeting,Emergency call: customer threatened to evaluate competitors due to ongoing RMA issues.,negative,-0.42
sig_296006_0179,296006,2024-11-16,incident,SLA breach: network latency exceeded threshold for 4h. Root cause under investigation.,negative,-0.73
sig_296006_0180,296006,2024-12-25,customer_feedback,Support satisfaction: 2.1/5. Customer requests executive-level engagement.,negative,-0.82
sig_296006_0181,296006,2024-12-25,incident,Critical: GPU cluster outage lasted 7h. Customer escalated to VP level.,negative,-0.81
sig_296006_0182,296006,2024-12-25,incident,SLA breach: network latency exceeded threshold for 2h. Root cause under investigation.,negative,-0.66
sig_296007_0183,296007,2024-01-17,meeting,Expansion discussion: customer evaluating additional rack capacity for Q1 growth.,positive,0.54
sig_296007_0184,296007,2024-01-17,customer_feedback,NPS survey response: Score improved from 6 to 8. Customer praised faster GPU provisioning.,positive,0.56
sig_296007_0185,296007,2024-02-07,meeting,Expansion discussion: customer evaluating additional rack capacity for Q1 growth.,positive,0.52
sig_296007_0186,296007,2024-02-07,customer_feedback,Champion Mike Thompson confirmed renewal intent and requested pricing for GPU cluster expansion.,positive,0.61
sig_296007_0187,296007,2024-03-16,meeting,Expansion discussion: customer evaluating additional rack capacity for Q1 growth.,positive,0.7
sig_296007_0188,296007,2024-03-16,milestone,Customer achieved 99.9% uptime target for the first time this quarter.,positive,0.75
sig_296007_0189,296007,2024-04-25,customer_feedback,Support ticket satisfaction: 4.5/5 — team resolved batch processing issue within SLA.,positive,0.48
sig_296007_0190,296007,2024-04-25,incident,Minor network latency spike detected; auto-resolved within 15 minutes. No customer impact.,neutral,0.09
sig_296007_0191,296007,2024-05-02,meeting,QBR held — customer reported improved deployment times and wants to expand AI workloads.,positive,0.55
sig_296007_0192,296007,2024-05-02,customer_feedback,NPS survey response: Score improved from 6 to 5. Customer praised faster GPU provisioning.,positive,0.67
sig_296007_0193,296007,2024-05-02,incident,Minor network latency spike detected; auto-resolved within 15 minutes. No customer impact.,neutral,0.02
sig_296007_0194,296007,2024-06-17,meeting,Expansion discussion: customer evaluating additional rack capacity for Q2 growth.,positive,0.66
sig_296007_0195,296007,2024-06-17,meeting,QBR held — customer reported improved deployment times and wants to expand AI workloads.,positive,0.57
sig_296007_0196,296007,2024-06-17,milestone,Customer achieved 99.9% uptime target for the first time this quarter.,positive,0.98
sig_296007_0197,296007,2024-07-01,customer_feedback,NPS survey response: Score improved from 7 to 9. Customer praised faster GPU provisioning.,positive,0.8
sig_296007_0198,296007,2024-07-01,milestone,Customer achieved 99.9% uptime target for the first time this quarter.,positive,0.71
sig_296007_0199,296007,2024-08-22,customer_feedback,Support ticket satisfaction: 4.5/5 — team resolved batch processing issue within SLA.,positive,0.47
sig_296007_0200,296007,2024-08-22,customer_feedback,Champion Mike Thompson confirmed renewal intent and requested pricing for GPU cluster expansion.,positive,0.81
sig_296007_0201,296007,2024-09-12,meeting,QBR held — customer reported improved deployment times and wants to expand AI workloads.,positive,0.53
sig_296007_0202,296007,2024-09-12,incident,Minor network latency spike detected; auto-resolved within 15 minutes. No customer impact.,neutral,0.15
sig_296007_0203,296007,2024-09-12,milestone,Customer achieved 99.9% uptime target for the first time this quarter.,positive,0.74
sig_296007_0204,296007,2024-10-06,milestone,Customer achieved 99.9% uptime target for the first time this quarter.,positive,0.71
sig_296007_0205,296007,2024-10-06,customer_feedback,Support ticket satisfaction: 4.5/5 — team resolved batch processing issue within SLA.,positive,0.68
sig_296007_0206,296007,2024-11-19,customer_feedback,NPS survey response: Score improved from 6 to 9. Customer praised faster GPU provisioning.,positive,0.51
sig_296007_0207,296007,2024-11-19,customer_feedback,Support ticket satisfaction: 4.5/5 — team resolved batch processing issue within SLA.,positive,0.41
sig_296007_0208,296007,2024-12-19,health_check,"Proactive health review: RMA rates declining, PUE improving toward target.",positive,0.31
sig_296007_0209,296007,2024-12-19,customer_feedback,NPS survey response: Score improved from 5 to 7. Customer praised faster GPU provisioning.,positive,0.79
sig_296007_0210,296007,2024-12-19,health_check,"Proactive health review: RMA rates declining, PUE improving toward target.",positive,0.47
sig_296008_0211,296008,2024-01-22,customer_feedback,"Feedback form: ""Service meets expectations. Would like more proactive reporting.""",neutral,0.1
sig_296008_0212,296008,2024-01-22,meeting,Monthly sync — customer satisfied with current service levels. No escalations.,neutral,0.05
sig_296008_0213,296008,2024-01-22,milestone,Contract renewal processed — 12-month extension at current terms.,positive,0.44
sig_296008_0214,296008,2024-02-13,customer_feedback,"Feedback form: ""Service meets expectations. Would like more proactive reporting.""",neutral,0.14
sig_296008_0215,296008,2024-02-13,meeting,Monthly sync — customer satisfied with current service levels. No escalations.,neutral,0.15
sig_296008_0216,296008,2024-02-13,meeting,Stakeholder check-in: no open issues. Discussed roadmap for next quarter.,neutral,0.12
sig_296008_0217,296008,2024-03-27,milestone,Contract renewal processed — 12-month extension at current terms.,positive,0.37
sig_296008_0218,296008,2024-03-27,customer_feedback,"Feedback form: ""Service meets expectations. Would like more proactive reporting.""",neutral,0.17
sig_296008_0219,296008,2024-03-27,customer_feedback,NPS survey: Score steady at 8/10. Customer values reliability.,neutral,0.11
sig_296008_0220,296008,2024-04-18,meeting,Stakeholder check-in: no open issues. Discussed roadmap for next quarter.,neutral,0.23
sig_296008_0221,296008,2024-04-18,meeting,Monthly sync — customer satisfied with current service levels. No escalations.,neutral,0.01
sig_296008_0222,296008,2024-05-22,customer_feedback,"Feedback form: ""Service meets expectations. Would like more proactive reporting.""",neutral,0.16
sig_296008_0223,296008,2024-05-22,meeting,Stakeholder check-in: no open issues. Discussed roadmap for next quarter.,neutral,0.12
sig_296008_0224,296008,2024-05-22,milestone,Contract renewal processed — 12-month extension at current terms.,positive,0.35
sig_296008_0225,296008,2024-06-11,incident,Scheduled maintenance window completed successfully. All systems nominal.,neutral,0.08
sig_296008_0226,296008,2024-06-11,customer_feedback,"Feedback form: ""Service meets expectations. Would like more proactive reporting.""",neutral,0.12
sig_296008_0227,296008,2024-06-11,health_check,Routine health check: all KPIs within healthy ranges. No action required.,neutral,0.07
sig_296008_0228,296008,2024-07-27,health_check,Routine health check: all KPIs within healthy ranges. No action required.,neutral,0.23
sig_296008_0229,296008,2024-07-27,meeting,Stakeholder check-in: no open issues. Discussed roadmap for next quarter.,neutral,0.23
sig_296008_0230,296008,2024-07-27,meeting,Monthly sync — customer satisfied with current service levels. No escalations.,neutral,0.07
