week_number,date,phase,event_type,description,sentiment,sentiment_value,health_score_before,health_score_after,outcome,csm_action_type,csm_action_desc,csm_response_hours,csm_cost
8,2024-02-19,crisis,executive_engagement,Board questioning infrastructure decision,very_negative,-0.85,44.66,49.06,"Crisis mitigation in progress, situation critical",root_cause_analysis,Root cause analysis initiated,4,10000
8,2024-02-19,crisis,support_ticket,Critical support ticket - Production loss quantified,very_negative,-0.9,44.66,49.06,"Crisis mitigation in progress, situation critical",executive_sponsor,Executive sponsor assigned immediately,2,25000
9,2024-02-26,at_risk,milestone,"60-day uptime milestone - Slow progress, cautious optimism",neutral,0.2,49.06,50.5,"Financial concerns remain, cautious",discount_negotiation,12% discount negotiated with finance,96,3000
10,2024-03-04,at_risk,budget_review,CFO: 'Should we switch providers?' - Budget under review,negative,-0.6,50.5,53.47,"Financial concerns remain, cautious",discount_negotiation,12% discount negotiated with finance,96,3000
11,2024-03-11,at_risk,contract_discussion,Pricing compromise reached - 12% discount negotiated,positive,0.5,53.47,57.31,"Financial concerns remain, cautious",,,,
11,2024-03-11,at_risk,contract_discussion,Pricing compromise reached - 12% discount negotiated,positive,0.5,53.47,57.31,"Financial concerns remain, cautious",flexible_payment_terms,Flexible payment terms offered,72,5000
12,2024-03-18,at_risk,budget_review,CFO: 'Should we switch providers?' - Budget under review,negative,-0.6,57.31,61.37,"Financial concerns remain, cautious",roi_analysis,Detailed ROI analysis prepared,48,4000
12,2024-03-18,at_risk,contract_discussion,Pricing compromise reached - 12% discount negotiated,positive,0.5,57.31,61.37,"Financial concerns remain, cautious",discount_negotiation,12% discount negotiated with finance,96,3000
13,2024-03-25,at_risk,contract_discussion,Pricing compromise reached - 12% discount negotiated,positive,0.5,61.37,66.32,"Financial concerns remain, cautious",,,,
13,2024-03-25,at_risk,milestone,"60-day uptime milestone - Slow progress, cautious optimism",neutral,0.2,61.37,66.32,"Financial concerns remain, cautious",flexible_payment_terms,Flexible payment terms offered,72,5000
14,2024-04-01,at_risk,budget_review,CFO: 'Should we switch providers?' - Budget under review,negative,-0.6,66.32,67.74,"Financial concerns remain, cautious",discount_negotiation,12% discount negotiated with finance,96,3000
15,2024-04-08,moderate,meeting,Board: 'Cautiously positive' - Sentiment improving,positive,0.5,67.74,70.43,"Stable, expansion still frozen",,,,
16,2024-04-15,moderate,technical_issue,Quality metrics: 42% improvement shown,positive,0.6,70.43,73.15,"Stable, expansion still frozen",performance_reporting,Performance dashboard and reporting,72,2000
17,2024-04-22,moderate,champion_interaction,New champion emerges (VP Operations) - Fresh perspective,positive,0.7,73.15,77.01,"Confidence returning, team re-engaging",proactive_training,Proactive team training sessions (15 engineers),120,5000
17,2024-04-22,moderate,milestone,90-day uptime milestone - Confidence returning,positive,0.6,73.15,77.01,"Confidence returning, team re-engaging",proactive_training,Proactive team training sessions (15 engineers),120,5000
18,2024-04-29,moderate,technical_issue,Quality metrics: 42% improvement shown,positive,0.6,77.01,80.06,"Confidence returning, team re-engaging",,,,
18,2024-04-29,moderate,milestone,90-day uptime milestone - Confidence returning,positive,0.6,77.01,80.06,"Confidence returning, team re-engaging",performance_reporting,Performance dashboard and reporting,72,2000
19,2024-05-06,moderate,meeting,Expansion still frozen - Wait and see approach,neutral,0.2,80.06,82.46,"Stable, expansion still frozen",proactive_training,Proactive team training sessions (15 engineers),120,5000
19,2024-05-06,moderate,meeting,Board: 'Cautiously positive' - Sentiment improving,positive,0.5,80.06,82.46,"Stable, expansion still frozen",new_use_case_support,New use case support and enablement,48,3000
20,2024-05-13,moderate,technical_issue,Quality metrics: 42% improvement shown,positive,0.6,82.46,84.65,"Stable, expansion still frozen",,,,
20,2024-05-13,moderate,milestone,90-day uptime milestone - Confidence returning,positive,0.6,82.46,84.65,"Stable, expansion still frozen",,,,
21,2024-05-20,moderate,meeting,Board: 'Cautiously positive' - Sentiment improving,positive,0.5,84.65,86.93,"Stable, expansion still frozen",,,,
21,2024-05-20,moderate,meeting,Board: 'Cautiously positive' - Sentiment improving,positive,0.5,84.65,86.93,"Stable, expansion still frozen",new_use_case_support,New use case support and enablement,48,3000
22,2024-05-27,moderate,meeting,Expansion still frozen - Wait and see approach,neutral,0.2,86.93,90.7,"Confidence returning, team re-engaging",performance_reporting,Performance dashboard and reporting,72,2000
22,2024-05-27,moderate,milestone,90-day uptime milestone - Confidence returning,positive,0.6,86.93,90.7,"Confidence returning, team re-engaging",new_use_case_support,New use case support and enablement,48,3000
23,2024-06-03,moderate,meeting,Board: 'Cautiously positive' - Sentiment improving,positive,0.5,90.7,92.91,"Stable, expansion still frozen",,,,
23,2024-06-03,moderate,milestone,90-day uptime milestone - Confidence returning,positive,0.6,90.7,92.91,"Stable, expansion still frozen",performance_reporting,Performance dashboard and reporting,72,2000
24,2024-06-10,moderate,milestone,90-day uptime milestone - Confidence returning,positive,0.6,92.91,93.27,"Stable, expansion still frozen",,,,
24,2024-06-10,moderate,meeting,Expansion still frozen - Wait and see approach,neutral,0.2,92.91,93.27,"Stable, expansion still frozen",,,,
25,2024-06-17,growth,contract_discussion,Early renewal discussion - Multi-year interest expressed,very_positive,0.9,93.27,92.81,"Sustained growth, advocacy unlocked",marketing_collaboration,Marketing collaboration and case study,200,2000
25,2024-06-17,growth,contract_discussion,2-year renewal signed - $2.25M/yr commitment,very_positive,0.95,93.27,92.81,"Sustained growth, advocacy unlocked",strategic_planning,Strategic multi-year planning,120,5000
25,2024-06-17,growth,milestone,150-day uptime milestone - Complete trust restored,very_positive,0.95,93.27,92.81,"Sustained growth, advocacy unlocked",renewal_planning,Renewal planning and strategy,168,2000
26,2024-06-24,growth,milestone,150-day uptime milestone - Complete trust restored,very_positive,0.95,92.81,92.32,"Sustained growth, advocacy unlocked",strategic_planning,Strategic multi-year planning,120,5000
27,2024-07-01,growth,contract_discussion,Early renewal discussion - Multi-year interest expressed,very_positive,0.9,92.32,92.69,"Sustained growth, advocacy unlocked",,,,
27,2024-07-01,growth,expansion_discussion,Robotics expansion interest - New use cases identified,very_positive,0.85,92.32,92.69,"Sustained growth, advocacy unlocked",strategic_planning,Strategic multi-year planning,120,5000
27,2024-07-01,growth,contract_discussion,Early renewal discussion - Multi-year interest expressed,very_positive,0.9,92.32,92.69,"Sustained growth, advocacy unlocked",renewal_execution,Contract renewal execution,72,3000
28,2024-07-08,growth,champion_interaction,Offered to be reference customer - Full advocacy,very_positive,0.9,92.69,92.54,"Sustained growth, advocacy unlocked",,,,
28,2024-07-08,growth,champion_interaction,Offered to be reference customer - Full advocacy,very_positive,0.9,92.69,92.54,"Sustained growth, advocacy unlocked",expansion_enablement,Expansion enablement and POC support,96,8000
29,2024-07-15,growth,milestone,200-day uptime milestone - Exceptional performance,very_positive,0.95,92.54,92.15,"Sustained growth, advocacy unlocked",expansion_enablement,Expansion enablement and POC support,96,8000
29,2024-07-15,growth,milestone,150-day uptime milestone - Complete trust restored,very_positive,0.95,92.54,92.15,"Sustained growth, advocacy unlocked",,,,
30,2024-07-22,growth,expansion_discussion,Robotics expansion interest - New use cases identified,very_positive,0.85,92.15,91.81,"Sustained growth, advocacy unlocked",renewal_planning,Renewal planning and strategy,168,2000
31,2024-07-29,growth,expansion_discussion,Robotics expansion interest - New use cases identified,very_positive,0.85,91.81,91.36,"Sustained growth, advocacy unlocked",renewal_execution,Contract renewal execution,72,3000
31,2024-07-29,growth,expansion_discussion,Robotics expansion interest - New use cases identified,very_positive,0.85,91.81,91.36,"Sustained growth, advocacy unlocked",,,,
32,2024-08-05,growth,contract_discussion,Early renewal discussion - Multi-year interest expressed,very_positive,0.9,91.36,91.12,"Sustained growth, advocacy unlocked",renewal_execution,Contract renewal execution,72,3000
32,2024-08-05,growth,milestone,200-day uptime milestone - Exceptional performance,very_positive,0.95,91.36,91.12,"Sustained growth, advocacy unlocked",expansion_enablement,Expansion enablement and POC support,96,8000
32,2024-08-05,growth,contract_discussion,Early renewal discussion - Multi-year interest expressed,very_positive,0.9,91.36,91.12,"Sustained growth, advocacy unlocked",,,,
33,2024-08-12,growth,contract_discussion,Early renewal discussion - Multi-year interest expressed,very_positive,0.9,91.12,91.29,"Sustained growth, advocacy unlocked",marketing_collaboration,Marketing collaboration and case study,200,2000
34,2024-08-19,growth,expansion_discussion,2025 budget approved ($800K) - Major expansion planned,very_positive,0.9,91.29,91.43,"Sustained growth, advocacy unlocked",,,,
34,2024-08-19,growth,milestone,150-day uptime milestone - Complete trust restored,very_positive,0.95,91.29,91.43,"Sustained growth, advocacy unlocked",,,,
35,2024-08-26,growth,contract_discussion,2-year renewal signed - $2.25M/yr commitment,very_positive,0.95,91.43,91.75,"Sustained growth, advocacy unlocked",renewal_execution,Contract renewal execution,72,3000
35,2024-08-26,growth,contract_discussion,Early renewal discussion - Multi-year interest expressed,very_positive,0.9,91.43,91.75,"Sustained growth, advocacy unlocked",,,,
36,2024-09-02,growth,contract_discussion,2-year renewal signed - $2.25M/yr commitment,very_positive,0.95,91.75,91.3,"Sustained growth, advocacy unlocked",strategic_planning,Strategic multi-year planning,120,5000
36,2024-09-02,growth,expansion_discussion,Robotics expansion interest - New use cases identified,very_positive,0.85,91.75,91.3,"Sustained growth, advocacy unlocked",marketing_collaboration,Marketing collaboration and case study,200,2000
37,2024-09-09,growth,milestone,150-day uptime milestone - Complete trust restored,very_positive,0.95,91.3,91.45,"Sustained growth, advocacy unlocked",,,,
38,2024-09-16,growth,milestone,150-day uptime milestone - Complete trust restored,very_positive,0.95,91.45,91.11,"Sustained growth, advocacy unlocked",,,,
39,2024-09-23,growth,expansion_discussion,2025 budget approved ($800K) - Major expansion planned,very_positive,0.9,91.11,91.48,"Sustained growth, advocacy unlocked",expansion_enablement,Expansion enablement and POC support,96,8000
39,2024-09-23,growth,expansion_discussion,Robotics expansion interest - New use cases identified,very_positive,0.85,91.11,91.48,"Sustained growth, advocacy unlocked",,,,
40,2024-09-30,growth,champion_interaction,Offered to be reference customer - Full advocacy,very_positive,0.9,91.48,91.93,"Sustained growth, advocacy unlocked",renewal_execution,Contract renewal execution,72,3000
40,2024-09-30,growth,expansion_discussion,Robotics expansion interest - New use cases identified,very_positive,0.85,91.48,91.93,"Sustained growth, advocacy unlocked",strategic_planning,Strategic multi-year planning,120,5000
40,2024-09-30,growth,milestone,150-day uptime milestone - Complete trust restored,very_positive,0.95,91.48,91.93,"Sustained growth, advocacy unlocked",,,,
41,2024-10-07,growth,expansion_discussion,Robotics expansion interest - New use cases identified,very_positive,0.85,91.93,91.47,"Sustained growth, advocacy unlocked",renewal_execution,Contract renewal execution,72,3000
41,2024-10-07,growth,contract_discussion,Early renewal discussion - Multi-year interest expressed,very_positive,0.9,91.93,91.47,"Sustained growth, advocacy unlocked",renewal_planning,Renewal planning and strategy,168,2000
41,2024-10-07,growth,contract_discussion,2-year renewal signed - $2.25M/yr commitment,very_positive,0.95,91.93,91.47,"Sustained growth, advocacy unlocked",expansion_enablement,Expansion enablement and POC support,96,8000
42,2024-10-14,growth,milestone,200-day uptime milestone - Exceptional performance,very_positive,0.95,91.47,91.7,"Sustained growth, advocacy unlocked",,,,
42,2024-10-14,growth,champion_interaction,Offered to be reference customer - Full advocacy,very_positive,0.9,91.47,91.7,"Sustained growth, advocacy unlocked",expansion_enablement,Expansion enablement and POC support,96,8000
42,2024-10-14,growth,expansion_discussion,Robotics expansion interest - New use cases identified,very_positive,0.85,91.47,91.7,"Sustained growth, advocacy unlocked",renewal_planning,Renewal planning and strategy,168,2000
43,2024-10-21,growth,milestone,200-day uptime milestone - Exceptional performance,very_positive,0.95,91.7,91.92,"Sustained growth, advocacy unlocked",,,,
43,2024-10-21,growth,contract_discussion,2-year renewal signed - $2.25M/yr commitment,very_positive,0.95,91.7,91.92,"Sustained growth, advocacy unlocked",renewal_execution,Contract renewal execution,72,3000
44,2024-10-28,growth,expansion_discussion,2025 budget approved ($800K) - Major expansion planned,very_positive,0.9,91.92,92.28,"Sustained growth, advocacy unlocked",strategic_planning,Strategic multi-year planning,120,5000
45,2024-11-04,growth,milestone,150-day uptime milestone - Complete trust restored,very_positive,0.95,92.28,92.07,"Sustained growth, advocacy unlocked",marketing_collaboration,Marketing collaboration and case study,200,2000
46,2024-11-11,growth,milestone,150-day uptime milestone - Complete trust restored,very_positive,0.95,92.07,92.05,"Sustained growth, advocacy unlocked",,,,
47,2024-11-18,growth,milestone,200-day uptime milestone - Exceptional performance,very_positive,0.95,92.05,91.67,"Sustained growth, advocacy unlocked",strategic_planning,Strategic multi-year planning,120,5000
47,2024-11-18,growth,expansion_discussion,Robotics expansion interest - New use cases identified,very_positive,0.85,92.05,91.67,"Sustained growth, advocacy unlocked",,,,
48,2024-11-25,growth,expansion_discussion,2025 budget approved ($800K) - Major expansion planned,very_positive,0.9,91.67,91.27,"Sustained growth, advocacy unlocked",renewal_planning,Renewal planning and strategy,168,2000
48,2024-11-25,growth,expansion_discussion,2025 budget approved ($800K) - Major expansion planned,very_positive,0.9,91.67,91.27,"Sustained growth, advocacy unlocked",expansion_enablement,Expansion enablement and POC support,96,8000
48,2024-11-25,growth,milestone,150-day uptime milestone - Complete trust restored,very_positive,0.95,91.67,91.27,"Sustained growth, advocacy unlocked",renewal_planning,Renewal planning and strategy,168,2000
49,2024-12-02,growth,milestone,150-day uptime milestone - Complete trust restored,very_positive,0.95,91.27,90.87,"Sustained growth, advocacy unlocked",renewal_execution,Contract renewal execution,72,3000
49,2024-12-02,growth,milestone,200-day uptime milestone - Exceptional performance,very_positive,0.95,91.27,90.87,"Sustained growth, advocacy unlocked",renewal_planning,Renewal planning and strategy,168,2000
50,2024-12-09,growth,expansion_discussion,2025 budget approved ($800K) - Major expansion planned,very_positive,0.9,90.87,91.28,"Sustained growth, advocacy unlocked",,,,
51,2024-12-16,growth,milestone,150-day uptime milestone - Complete trust restored,very_positive,0.95,91.28,91.56,"Sustained growth, advocacy unlocked",renewal_planning,Renewal planning and strategy,168,2000
52,2024-12-23,growth,contract_discussion,2-year renewal signed - $2.25M/yr commitment,very_positive,0.95,91.56,91.52,"Sustained growth, advocacy unlocked",strategic_planning,Strategic multi-year planning,120,5000
