account_id,decision_id,decision_date,title,decision_maker_role,chosen_option,options_considered,revenue_impact,risk_level,evidence_refs,outcome_description,confidence
291004,d_authorize_expansion_budget,2025-10-12,Authorize Pre-Surge Expansion Budget,decision_maker,"Approve $1.6M proactive expansion: 2 GPU racks + cooling + network fabric, deployed before Q4 surge","[""Approve $1.6M proactive expansion: 2 GPU racks + cooling + network fabric, deployed before Q4 surge"", ""Approve partial expansion ($900K): 1 GPU rack now, second rack if needed during surge (spot pricing)"", ""Reject expansion, rely on emergency spot capacity during surge if needed ($2.4M estimated cost)""]",4837698.86,low,"[""ROI analysis showing $800K savings vs. emergency spot capacity"", ""P5-KPI4 Compute Hour Consumption already trending up 8% MoM"", ""12-week hardware procurement lead time with 14-week window remaining"", ""Early seasonal signals confirming demand forecast accuracy"", ""VP Data Science championing the investment internally""]",CFO approved the full proactive expansion after CSM ROI analysis proved the cost advantage over reactive procurement. The 2-week margin before surge start validated the urgency of the decision timeline.,0.91
291004,d_activate_surge_capacity,2025-12-30,Activate Full Surge Capacity Mode,technical_lead,Activate all expanded capacity with automated workload distribution and real-time monitoring dashboard,"[""Activate all expanded capacity with automated workload distribution and real-time monitoring dashboard"", ""Gradual activation: bring new capacity online in stages as demand increases"", ""Hold new capacity in reserve, activate only if utilization exceeds 85%""]",2418849.43,low,"[""Load testing confirmed expanded fleet sustains 95% utilization"", ""P5-KPI4 Compute Hour Consumption spiking 18% in first 2 weeks"", ""P3-KPI1 GPU Utilization already at 72% on expanded fleet"", ""Black Friday demand forecast shows 88% peak utilization""]","Full activation with automated distribution ensured zero manual intervention during peak demand. The real-time monitoring dashboard provided CFO visibility into ROI realization in real time, reinforcing confidence in the predictive planning model.",0.76
291005,dec_poc_workload_expansion,2025-05-05,Approve POC Workload Expansion to Second ML Team,champion,Onboard second ML team immediately with dedicated GPU allocation,"[""Onboard second ML team immediately with dedicated GPU allocation"", ""Wait 90 days to evaluate first-workload results before expanding"", ""Keep single-team usage and re-evaluate at next budget cycle""]",0.0,low,"[""P1-KPI1: Time-to-First-Workload achieved in 12 days (under 14-day target)"", ""P3-KPI4: Training time 18 hours (under 24-hour benchmark)"", ""P3-KPI1: GPU utilization at 35% -- ample capacity for second team"", ""P3-KPI2: Training job completion rate at 95%""]",VP AI/ML green-lights second ML team onboarding based on fast first-workload success. This triggers the adoption velocity that drives all subsequent expansions.,0.78
291005,dec_first_rack_expansion,2025-07-31,Approve First Rack Expansion (1 to 2 Racks),decision_maker,"Expand from 1 rack to 2 racks (+32 GPUs, $600K ARR)","[""Expand from 1 rack to 2 racks (+32 GPUs, $600K ARR)"", ""Optimize existing workloads to extend capacity runway by 8 weeks"", ""Move overflow workloads to cloud GPU provider""]",1432940.5,low,"[""P5-KPI1: Capacity utilization at 80% -- expansion threshold breached"", ""P3-KPI1: GPU utilization at 78% and climbing"", ""P5-KPI2: Capacity trajectory at +15% MoM -- steep positive"", ""P5-KPI3: Workload Growth Velocity at +22% MoM"", ""P5-KPI7: Expansion Probability at 55%"", ""CSM ROI analysis: $12K CAC fully recovered in 8 weeks""]",Infrastructure Director approves first expansion based on utilization data and proven ROI. CFO signs off citing 8-week CAC payback. Demonstrates platform's ability to surface expansion timing.,0.73
291005,dec_adopt_inference_workloads,2025-09-07,Adopt Inference Workloads on New Capacity,champion,Deploy real-time inference workloads on expanded GPU capacity,"[""Deploy real-time inference workloads on expanded GPU capacity"", ""Focus only on training workloads -- defer inference to cloud"", ""Use expanded capacity only for existing training workloads""]",0.0,low,"[""P3-KPI7: Workload Diversity at 3 types -- inference adds 4th"", ""P3-KPI1: GPU utilization at 55% post-expansion -- capacity available"", ""P5-KPI6: Only 2 new use cases in 90 days -- inference adds growth vector"", ""Solutions Architect: Inference latency target achievable on current hardware""]",VP AI/ML approves inference workload deployment. This diversification is the catalyst for the second expansion wave -- new workload types consume capacity faster than training alone.,0.94
291005,dec_strategic_expansion,2026-01-29,Approve Strategic 10-Rack Expansion,exec_sponsor,"Strategic expansion from 4 to 10 racks (6 additional racks, $1.8M ARR) as multi-year partnership","[""Strategic expansion from 4 to 10 racks (6 additional racks, $1.8M ARR) as multi-year partnership"", ""Incremental expansion: add 2 racks now, revisit in 6 months"", ""Issue competitive RFP for strategic infrastructure partner""]",4298821.5,low,"[""P5-KPI7: Expansion Probability at 78% -- high confidence"", ""P5-KPI2: Capacity trajectory sustained +12% MoM across 40 weeks"", ""P3-KPI1: GPU utilization at 75% on 4-rack footprint"", ""P5-KPI3: Workload Growth Velocity sustained above 10% MoM for 8 months"", ""First expansion ROI: paid back in 10 weeks"", ""Second expansion ROI: paid back in 12 weeks"", ""VP AI/ML 18-month roadmap requires 10-rack footprint""]",CFO approves strategic expansion as multi-year partnership. Decision driven by compounding ROI data across two prior expansions and VP AI/ML's board-approved AI roadmap. Total ARR: $4.8M (4x initial land).,0.77
291006,d1_escalate_competitive_threat,2025-09-22,Escalate competitive threat to VP Sales with full signal dossier,champion,Escalate to VP Sales with compiled competitive intelligence dossier and recommended defense playbook,"[""Continue monitoring without executive escalation; CSM handles relationship at working level"", ""Escalate to VP Sales with compiled competitive intelligence dossier and recommended defense playbook"", ""Immediately offer preemptive discount to match competitor pricing""]",219026.6,medium,"[""CTO LinkedIn competitor engagement (w7)"", ""Competitor AE pricing proposal (w9)"", ""VP Engineering champion alert (w11)"", ""Budget conversations going dark (w13)"", ""NPS 22-point CTO confidence drop (w19)""]","Escalation to VP Sales triggered executive-to-executive engagement strategy, preventing reactive discounting and enabling value-based defense",0.86
291006,d2_deploy_value_report_cfo,2025-12-03,Deploy value-realization report for CFO with TCO defense,exec_sponsor,"Deploy comprehensive value-realization report to CFO showing $2.1M realized value, $1.8M switching costs, and 18-month TCO advantage","[""Let CTO evaluation proceed without CFO engagement; risk pure price comparison"", ""Deploy comprehensive value-realization report to CFO showing $2.1M realized value, $1.8M switching costs, and 18-month TCO advantage"", ""Offer modest retention discount (5%) without value justification""]",657079.8,low,"[""GPU utilization data showing 72% avg (value proof)"", ""99.7% uptime over 18 months (reliability proof)"", ""Training job completion 94% (operational proof)"", ""Switching cost analysis: $1.8M migration + 6-month productivity loss"", ""Competitor benchmark counter: 23% distributed training advantage""]",CFO concluded that competitor's 30% price advantage was offset by $1.8M switching costs and proven operational value; shifted evaluation criteria from price to total value,0.73
291006,d3_negotiate_multiyear_retention,2026-01-04,Negotiate multi-year retention agreement with investment incentives,exec_sponsor,"3-year retention agreement with 8% volume discount, technology refresh guarantee, and co-innovation partnership","[""Standard 1-year renewal at current pricing"", ""3-year retention agreement with 8% volume discount, technology refresh guarantee, and co-innovation partnership"", ""2-year agreement with 15% discount to firmly close competitor option""]",2190266.0,low,"[""CFO TCO analysis acceptance (w26)"", ""CTO-to-CTO co-innovation roadmap alignment (w29)"", ""VP Engineering champion endorsement"", ""Counter-benchmark technical validation"", ""Expansion probability recovered to 68% pre-signing""]",3-year multi-year agreement secured $3.8M ARR with path to expansion. 8% volume discount ($304K/yr) is significantly less margin impact than the $570K replacement cost of losing the account entirely.,0.84
291007,d1_exec_escalation,2025-10-22,Escalate to Executive Sponsor,CSM (Internal),Escalate to VP Sales with context graph analysis showing compound risk,"[""Wait for more data -- health score is still 71, technically healthy"", ""Escalate to VP Sales with context graph analysis showing compound risk"", ""CSM attempts direct outreach to champion without exec air cover""]",2181439.0,low,"[""P5-KPI8 dropped from 82 to 41 (champion engagement)"", ""P4-KPI3 missed QBR (0 of 4 annual target)"", ""P4-KPI1 dropped from 81 to 58 (partner engagement)"", ""P3-KPI1 declined 8% over 6 weeks (GPU utilization)""]",Early escalation triggered executive-led response 16 weeks before CSM would have noticed. System's compound-risk detection proved decisive.,0.82
291007,d2_competitive_defense,2025-11-04,Deploy Competitive Defense Playbook,VP Sales (Internal),Deploy technical team on-site to prove 22% throughput advantage + TCO analysis,"[""Match competitor pricing with 20% discount (erodes margin)"", ""Deploy technical team on-site to prove 22% throughput advantage + TCO analysis"", ""Ignore competitive threat and focus only on relationship repair""]",654431.7,low,"[""Competitive intel: rival quoting 15% lower TCO"", ""P3-KPI1 GPU utilization declined to 62% from 74%"", ""Customer ML team running parallel benchmarks for 6 weeks"", ""Internal benchmarks show 22% throughput advantage at scale""]","On-site proof-of-performance demonstrated clear technical superiority. Customer's own benchmark data showed 22% better throughput and 18% better inference latency, neutralizing competitor's TCO argument.",0.75
291007,d3_retention_package,2025-12-28,Negotiate Retention Package,VP Sales (Internal),3-year price lock at 5% discount + custom SLA + dedicated TAM ($470K total investment),"[""Standard renewal at current terms (risk of churn at renewal)"", ""3-year price lock at 5% discount + custom SLA + dedicated TAM ($470K total investment)"", ""1-year extension with 10% discount (delays but does not solve)""]",2181439.0,low,"[""Champion re-engaged after CTO-to-CTO alignment"", ""Competitive defense playbook neutralized rival's positioning"", ""P5-KPI7 recovering from 12% to 42% (expansion probability)"", ""CTO shared 12-month AI roadmap requiring GPU expansion""]",3-year retention deal secured full $3.2M ARR. 5% discount costs $480K over term but secures $9.6M in total contract value. Expansion conversation reopened for Q4.,0.76
291008,dec_poc_approval,2025-07-09,Approve POC for New LLM Fine-Tuning Workloads,champion,Approve POC with dedicated GPU allocation for LLM fine-tuning,"[""Approve POC with dedicated GPU allocation for LLM fine-tuning"", ""Delay POC until Q3 budget cycle"", ""Reject POC - use cloud provider GPUs instead""]",0.0,low,"[""P3-KPI1: GPU utilization at 55% with room for POC workloads"", ""P3-KPI7: Only 2 workload types -- opportunity to diversify"", ""P5-KPI6: Zero new use cases in last 90 days""]",POC approved. VP Engineering allocates 20% of GPU capacity for LLM fine-tuning evaluation. This becomes the catalyst for the entire expansion chain.,0.73
291008,dec_expansion_budget,2025-10-19,Request Capacity Expansion Budget from CTO,champion,Request $5.2M expansion for 128 additional GPUs (4 racks),"[""Request $5.2M expansion for 128 additional GPUs (4 racks)"", ""Request $2.8M partial expansion for 64 GPUs (2 racks)"", ""Optimize existing capacity and defer expansion to next fiscal year""]",4629731.17,low,"[""P3-KPI1: GPU utilization at 88% -- above critical threshold"", ""P3-KPI2: Training job completion rate dropped from 93% to 82%"", ""P5-KPI1: Capacity utilization at 92% -- near saturation"", ""P5-KPI2: Capacity trajectory showing +12% MoM growth"", ""P2-KPI3: Critical incidents doubled in 30 days due to resource contention"", ""CSM-provided ROI analysis showing 35% return on expansion investment""]",VP Engineering presents CSM-built ROI deck to CTO. CTO approves full $5.2M budget citing AI roadmap strategic importance and capacity data from CS team.,0.8
291008,dec_expansion_order,2026-01-11,Sign Expansion Purchase Order,decision_maker,Sign $5.2M PO for 128 GPUs with 8-week deployment timeline,"[""Sign $5.2M PO for 128 GPUs with 8-week deployment timeline"", ""Split order into two phases: 64 GPUs now, 64 GPUs in 6 months"", ""Issue RFP to evaluate competitive alternatives""]",4629731.17,low,"[""P5-KPI7: Expansion probability at 92% -- highest confidence"", ""P5-KPI5: Budget approved and available"", ""P3-KPI2: Training job completion recovered to 88% with interim optimization"", ""P4-KPI1: Partner engagement strong -- smooth procurement process"", ""Reference call: Similar customer achieved 40% GPU utilization headroom post-expansion"", ""CSM deployment timeline: 8 weeks to production, minimal disruption""]",Infrastructure Director signs $5.2M PO. Full 128-GPU expansion with 8-week deployment commitment. CS team credited with data-driven urgency creation and champion enablement.,0.84
291009,d1_exec_introduction,2025-10-05,Request Executive Introduction Meeting,CRO (Our Exec Sponsor),CRO leverages board connection to secure warm introduction meeting within 2 weeks,"[""Wait for new CTO to settle in and reach out organically -- standard 90-day courtesy"", ""CRO leverages board connection to secure warm introduction meeting within 2 weeks"", ""CSM sends cold outreach email to new CTO requesting introductory call""]",1971478.0,low,"[""P5-KPI8 dropped from 82 to 0 (champion engagement -- executive sponsor departed)"", ""P4-KPI3 QBR cancelled (0 of 4 annual target)"", ""P5-KPI5 budget signals frozen (new CTO initiated vendor review)"", ""P5-KPI7 expansion probability collapsed from 58% to 8%"", ""New CTO background: 15 years at hyperscale cloud providers""]",CRO's warm introduction bypassed the typical 90-day waiting period. Meeting secured within 2 weeks vs. estimated 12+ weeks for organic outreach. Platform's stakeholder intelligence profile on new CTO enabled targeted hybrid positioning.,0.74
291009,d2_hybrid_assessment,2025-11-20,Propose Hybrid Architecture Assessment,CRO (Our Exec Sponsor),"Propose 6-week hybrid assessment: benchmark on-prem vs. cloud on customer's actual workloads, present TCO and latency data","[""Defend on-prem only -- argue against cloud entirely (alienates cloud-first CTO)"", ""Propose 6-week hybrid assessment: benchmark on-prem vs. cloud on customer's actual workloads, present TCO and latency data"", ""Offer steep discount to retain current footprint without addressing cloud concerns""]",1971478.0,low,"[""New CTO stated interest in 'proving hybrid value' during introduction meeting"", ""P3-KPI1 GPU utilization at 68% -- workloads still running but team hesitant to expand"", ""Internal benchmarks show 40% latency advantage for inference workloads on-prem"", ""CFO waiting for TCO analysis before unfreezing infrastructure budget""]","Hybrid positioning met the new CTO where he was -- acknowledging cloud benefits while proving on-prem value for specific workloads. Assessment data (40% lower latency, 35% lower TCO) convinced both CTO and CFO. Positioned us as strategic partner rather than legacy vendor.",0.94
291009,d3_strategic_partnership,2026-01-25,New CTO Signs Strategic Partnership,New CTO,Sign 2-year strategic partnership for hybrid infrastructure: retain on-prem GPU + add cloud burst + $2M expansion pipeline,"[""Proceed with cloud migration -- phase out on-prem GPU infrastructure over 12 months"", ""Sign 2-year strategic partnership for hybrid infrastructure: retain on-prem GPU + add cloud burst + $2M expansion pipeline"", ""Maintain status quo with 1-year renewal -- defer hybrid decision""]",2933174.59,low,"[""Hybrid assessment proved 40% latency advantage and 35% TCO advantage at scale"", ""VP Engineering advocating internally for hybrid approach"", ""CFO approved budget unfreeze based on TCO data"", ""P5-KPI7 recovering from 8% to 52% (expansion probability)"", ""P5-KPI8 rebuilt from 0 to 72 (new CTO champion engagement)""]","New CTO signed 2-year strategic partnership, committing to hybrid-first infrastructure. $4.1M ARR retained plus $2M hybrid expansion pipeline. Relationship proved resilient -- CTO converted from skeptic to advocate in 18 weeks.",0.95
291010,d1_exec_escalation,2025-10-19,Escalate to Executive Sponsor,CSM (Internal),Escalate to VP Sales with context graph analysis showing compound risk,"[""Wait for more data -- health score is still 71, technically healthy"", ""Escalate to VP Sales with context graph analysis showing compound risk"", ""CSM attempts direct outreach to champion without exec air cover""]",1913510.0,low,"[""P5-KPI8 dropped from 82 to 41 (champion engagement)"", ""P4-KPI3 missed QBR (0 of 4 annual target)"", ""P4-KPI1 dropped from 81 to 58 (partner engagement)"", ""P3-KPI1 declined 8% over 6 weeks (GPU utilization)""]",Early escalation triggered executive-led response 16 weeks before CSM would have noticed. System's compound-risk detection proved decisive.,0.84
291010,d2_competitive_defense,2025-11-05,Deploy Competitive Defense Playbook,VP Sales (Internal),Deploy technical team on-site to prove 22% throughput advantage + TCO analysis,"[""Match competitor pricing with 20% discount (erodes margin)"", ""Deploy technical team on-site to prove 22% throughput advantage + TCO analysis"", ""Ignore competitive threat and focus only on relationship repair""]",574053.0,low,"[""Competitive intel: rival quoting 15% lower TCO"", ""P3-KPI1 GPU utilization declined to 62% from 74%"", ""Customer ML team running parallel benchmarks for 6 weeks"", ""Internal benchmarks show 22% throughput advantage at scale""]","On-site proof-of-performance demonstrated clear technical superiority. Customer's own benchmark data showed 22% better throughput and 18% better inference latency, neutralizing competitor's TCO argument.",0.85
291010,d3_retention_package,2026-01-01,Negotiate Retention Package,VP Sales (Internal),3-year price lock at 5% discount + custom SLA + dedicated TAM ($470K total investment),"[""Standard renewal at current terms (risk of churn at renewal)"", ""3-year price lock at 5% discount + custom SLA + dedicated TAM ($470K total investment)"", ""1-year extension with 10% discount (delays but does not solve)""]",1913510.0,low,"[""Champion re-engaged after CTO-to-CTO alignment"", ""Competitive defense playbook neutralized rival's positioning"", ""P5-KPI7 recovering from 12% to 42% (expansion probability)"", ""CTO shared 12-month AI roadmap requiring GPU expansion""]",3-year retention deal secured full $3.2M ARR. 5% discount costs $480K over term but secures $9.6M in total contract value. Expansion conversation reopened for Q4.,0.76
