decision_ref,evidence_type,evidence_description,kpi_code,kpi_value,signal_ref,timestamp,confidence
d_authorize_expansion_budget,observation,ROI analysis showing $800K savings vs. emergency spot capacity,,,,2025-10-14,0.91
d_authorize_expansion_budget,kpi_metric,P5-KPI4 Compute Hour Consumption already trending up 8% MoM,,,,2025-10-14,0.76
d_authorize_expansion_budget,observation,12-week hardware procurement lead time with 14-week window remaining,,,,2025-10-14,0.91
d_authorize_expansion_budget,signal,Early seasonal signals confirming demand forecast accuracy,,,,2025-10-14,0.82
d_authorize_expansion_budget,observation,VP Data Science championing the investment internally,,,,2025-10-14,0.9
d_authorize_expansion_budget,kpi_metric,P5-KPI5 improve (major),P5-KPI5,,,2025-10-14,0.9
d_authorize_expansion_budget,kpi_metric,P5-KPI7 improve (major),P5-KPI7,,,2025-10-14,0.82
d_authorize_expansion_budget,kpi_metric,P5-KPI8 improve (moderate),P5-KPI8,,,2025-10-14,0.77
d_authorize_expansion_budget,kpi_metric,P5-KPI1 degrade (minor),P5-KPI1,,,2025-10-14,0.94
d_authorize_expansion_budget,kpi_metric,P2-KPI5 improve (minor),P2-KPI5,,,2025-10-14,0.78
d_authorize_expansion_budget,kpi_metric,P2-KPI4 plateau (minor),P2-KPI4,,,2025-10-14,0.94
d_authorize_expansion_budget,kpi_metric,P3-KPI1 improve (moderate),P3-KPI1,,,2025-10-14,0.92
d_authorize_expansion_budget,kpi_metric,P3-KPI2 improve (minor),P3-KPI2,,,2025-10-14,0.89
d_authorize_expansion_budget,kpi_metric,P5-KPI6 improve (moderate),P5-KPI6,,,2025-10-14,0.95
d_authorize_expansion_budget,kpi_metric,P5-KPI1 improve (moderate),P5-KPI1,,,2025-10-14,0.94
d_authorize_expansion_budget,kpi_metric,P5-KPI2 improve (major),P5-KPI2,,,2025-10-14,0.91
d_authorize_expansion_budget,kpi_metric,P2-KPI5 improve (moderate),P2-KPI5,,,2025-10-14,0.82
d_authorize_expansion_budget,kpi_metric,P2-KPI4 improve (minor),P2-KPI4,,,2025-10-14,0.91
d_activate_surge_capacity,kpi_metric,Load testing confirmed expanded fleet sustains 95% utilization,,,,2025-12-28,0.77
d_activate_surge_capacity,kpi_metric,P5-KPI4 Compute Hour Consumption spiking 18% in first 2 weeks,,,,2025-12-28,0.73
d_activate_surge_capacity,kpi_metric,P3-KPI1 GPU Utilization already at 72% on expanded fleet,,,,2025-12-28,0.79
d_activate_surge_capacity,kpi_metric,Black Friday demand forecast shows 88% peak utilization,,,,2025-12-28,0.89
d_activate_surge_capacity,kpi_metric,P5-KPI4 spike (major),P5-KPI4,,,2025-12-28,0.8
d_activate_surge_capacity,kpi_metric,P5-KPI1 improve (moderate),P5-KPI1,,,2025-12-28,0.83
d_activate_surge_capacity,kpi_metric,P3-KPI1 improve (moderate),P3-KPI1,,,2025-12-28,0.88
d_activate_surge_capacity,kpi_metric,P2-KPI4 plateau (minor),P2-KPI4,,,2025-12-28,0.82
d_activate_surge_capacity,kpi_metric,P3-KPI1 spike (major),P3-KPI1,,,2025-12-28,0.88
d_activate_surge_capacity,kpi_metric,P3-KPI2 improve (moderate),P3-KPI2,,,2025-12-28,0.84
d_activate_surge_capacity,kpi_metric,P3-KPI3 plateau (minor),P3-KPI3,,,2025-12-28,0.87
d_activate_surge_capacity,kpi_metric,P5-KPI4 spike (major),P5-KPI4,,,2025-12-28,0.94
d_activate_surge_capacity,kpi_metric,P2-KPI4 improve (minor),P2-KPI4,,,2025-12-28,0.82
d_activate_surge_capacity,kpi_metric,P4-KPI1 improve (moderate),P4-KPI1,,,2025-12-28,0.87
d_activate_surge_capacity,kpi_metric,P4-KPI3 improve (moderate),P4-KPI3,,,2025-12-28,0.88
d_activate_surge_capacity,kpi_metric,P5-KPI5 improve (moderate),P5-KPI5,,,2025-12-28,0.88
d_activate_surge_capacity,kpi_metric,P5-KPI7 improve (major),P5-KPI7,,,2025-12-28,0.84
d_activate_surge_capacity,kpi_metric,P5-KPI8 improve (moderate),P5-KPI8,,,2025-12-28,0.89
d_activate_surge_capacity,kpi_metric,P4-KPI6 improve (moderate),P4-KPI6,,,2025-12-28,0.88
d_activate_surge_capacity,kpi_metric,P5-KPI1 degrade (minor),P5-KPI1,,,2025-12-28,0.77
dec_poc_workload_expansion,kpi_metric,P1-KPI1: Time-to-First-Workload achieved in 12 days (under 14-day target),,,,2025-05-04,0.94
dec_poc_workload_expansion,kpi_metric,P3-KPI4: Training time 18 hours (under 24-hour benchmark),,,,2025-05-04,0.78
dec_poc_workload_expansion,kpi_metric,P3-KPI1: GPU utilization at 35% -- ample capacity for second team,,,,2025-05-04,0.82
dec_poc_workload_expansion,kpi_metric,P3-KPI2: Training job completion rate at 95%,,,,2025-05-04,0.72
dec_poc_workload_expansion,kpi_metric,P1-KPI5 improve (moderate),P1-KPI5,,,2025-05-04,0.93
dec_poc_workload_expansion,kpi_metric,P1-KPI2 improve (minor),P1-KPI2,,,2025-05-04,0.78
dec_poc_workload_expansion,kpi_metric,P1-KPI3 improve (moderate),P1-KPI3,,,2025-05-04,0.84
dec_poc_workload_expansion,kpi_metric,P1-KPI6 improve (moderate),P1-KPI6,,,2025-05-04,0.88
dec_poc_workload_expansion,kpi_metric,P1-KPI4 improve (minor),P1-KPI4,,,2025-05-04,0.9
dec_poc_workload_expansion,kpi_metric,P1-KPI1 improve (major),P1-KPI1,,,2025-05-04,0.94
dec_poc_workload_expansion,kpi_metric,P3-KPI4 improve (moderate),P3-KPI4,,,2025-05-04,0.83
dec_poc_workload_expansion,kpi_metric,P3-KPI2 improve (minor),P3-KPI2,,,2025-05-04,0.9
dec_poc_workload_expansion,kpi_metric,P3-KPI1 improve (minor),P3-KPI1,,,2025-05-04,0.78
dec_poc_workload_expansion,kpi_metric,P5-KPI8 improve (moderate),P5-KPI8,,,2025-05-04,0.83
dec_poc_workload_expansion,kpi_metric,P4-KPI1 improve (minor),P4-KPI1,,,2025-05-04,0.77
dec_poc_workload_expansion,kpi_metric,P5-KPI7 improve (minor),P5-KPI7,,,2025-05-04,0.85
dec_first_rack_expansion,kpi_metric,P5-KPI1: Capacity utilization at 80% -- expansion threshold breached,,,,2025-07-30,0.93
dec_first_rack_expansion,kpi_metric,P3-KPI1: GPU utilization at 78% and climbing,,,,2025-07-30,0.77
dec_first_rack_expansion,kpi_metric,P5-KPI2: Capacity trajectory at +15% MoM -- steep positive,,,,2025-07-30,0.87
dec_first_rack_expansion,kpi_metric,P5-KPI3: Workload Growth Velocity at +22% MoM,,,,2025-07-30,0.75
dec_first_rack_expansion,kpi_metric,P5-KPI7: Expansion Probability at 55%,,,,2025-07-30,0.81
dec_first_rack_expansion,observation,CSM ROI analysis: $12K CAC fully recovered in 8 weeks,,,,2025-07-30,0.76
dec_first_rack_expansion,kpi_metric,P3-KPI1 improve (moderate),P3-KPI1,,,2025-07-30,0.82
dec_first_rack_expansion,kpi_metric,P3-KPI7 improve (moderate),P3-KPI7,,,2025-07-30,0.95
dec_first_rack_expansion,kpi_metric,P5-KPI3 improve (moderate),P5-KPI3,,,2025-07-30,0.82
dec_first_rack_expansion,kpi_metric,P3-KPI1 improve (moderate),P3-KPI1,,,2025-07-30,0.93
dec_first_rack_expansion,kpi_metric,P3-KPI7 improve (minor),P3-KPI7,,,2025-07-30,0.88
dec_first_rack_expansion,kpi_metric,P5-KPI4 improve (moderate),P5-KPI4,,,2025-07-30,0.76
dec_first_rack_expansion,kpi_metric,P5-KPI1 improve (moderate),P5-KPI1,,,2025-07-30,0.81
dec_first_rack_expansion,kpi_metric,P5-KPI2 improve (moderate),P5-KPI2,,,2025-07-30,0.94
dec_first_rack_expansion,kpi_metric,P3-KPI1 improve (moderate),P3-KPI1,,,2025-07-30,0.94
dec_first_rack_expansion,kpi_metric,P5-KPI1 improve (moderate),P5-KPI1,,,2025-07-30,0.91
dec_first_rack_expansion,kpi_metric,P5-KPI2 improve (major),P5-KPI2,,,2025-07-30,0.77
dec_first_rack_expansion,kpi_metric,P5-KPI3 improve (major),P5-KPI3,,,2025-07-30,0.79
dec_first_rack_expansion,kpi_metric,P5-KPI7 improve (moderate),P5-KPI7,,,2025-07-30,0.88
dec_first_rack_expansion,kpi_metric,P5-KPI1 spike (moderate),P5-KPI1,,,2025-07-30,0.94
dec_first_rack_expansion,kpi_metric,P5-KPI5 improve (moderate),P5-KPI5,,,2025-07-30,0.76
dec_first_rack_expansion,kpi_metric,P5-KPI7 improve (major),P5-KPI7,,,2025-07-30,0.82
dec_first_rack_expansion,kpi_metric,P5-KPI8 improve (moderate),P5-KPI8,,,2025-07-30,0.95
dec_adopt_inference_workloads,kpi_metric,P3-KPI7: Workload Diversity at 3 types -- inference adds 4th,,,,2025-09-11,0.75
