week_number,date,phase,event_type,description,sentiment,sentiment_value,health_score_before,health_score_after,outcome,csm_action_type,csm_action_desc,csm_response_hours,csm_cost
28,2024-07-08,crisis,escalation,CEO threatening to change vendors - Trust destroyed,very_negative,-0.9,41.02,39.98,"Crisis mitigation in progress, situation critical",,,,
28,2024-07-08,crisis,executive_engagement,Board questioning infrastructure decision,very_negative,-0.85,41.02,39.98,"Crisis mitigation in progress, situation critical",war_room,Emergency war room convened (Day 0),2,15000
29,2024-07-15,crisis,escalation,CEO threatening to change vendors - Trust destroyed,very_negative,-0.9,39.98,37.3,"Crisis mitigation in progress, situation critical",,,,
29,2024-07-15,crisis,executive_engagement,Board questioning infrastructure decision,very_negative,-0.85,39.98,37.3,"Crisis mitigation in progress, situation critical",root_cause_analysis,Root cause analysis initiated,4,10000
30,2024-07-22,crisis,support_ticket,Critical support ticket - Production loss quantified,very_negative,-0.9,37.3,36.64,"Crisis mitigation in progress, situation critical",,,,
31,2024-07-29,crisis,support_ticket,Critical support ticket - Production loss quantified,very_negative,-0.9,36.64,36.33,"Crisis mitigation in progress, situation critical",,,,
32,2024-08-05,crisis,escalation,CEO threatening to change vendors - Trust destroyed,very_negative,-0.9,36.33,35.26,"Crisis mitigation in progress, situation critical",root_cause_analysis,Root cause analysis initiated,4,10000
33,2024-08-12,crisis,outage,14-HOUR OUTAGE - Complete production stoppage,very_negative,-0.95,35.26,33.78,"Crisis mitigation in progress, situation critical",,,,
33,2024-08-12,crisis,support_ticket,Critical support ticket - Production loss quantified,very_negative,-0.9,35.26,33.78,"Crisis mitigation in progress, situation critical",,,,
34,2024-08-19,crisis,escalation,CEO threatening to change vendors - Trust destroyed,very_negative,-0.9,33.78,33.67,"Crisis mitigation in progress, situation critical",,,,
34,2024-08-19,crisis,budget_review,Emergency budget meeting - Damages being calculated,very_negative,-0.85,33.78,33.67,"Crisis mitigation in progress, situation critical",,,,
35,2024-08-26,crisis,budget_review,Emergency budget meeting - Damages being calculated,very_negative,-0.85,33.67,33.64,"Crisis mitigation in progress, situation critical",,,,
35,2024-08-26,crisis,escalation,CEO threatening to change vendors - Trust destroyed,very_negative,-0.9,33.67,33.64,"Crisis mitigation in progress, situation critical",,,,
36,2024-09-02,crisis,support_ticket,Critical support ticket - Production loss quantified,very_negative,-0.9,33.64,31.99,"Crisis mitigation in progress, situation critical",,,,
36,2024-09-02,crisis,support_ticket,Critical support ticket - Production loss quantified,very_negative,-0.9,33.64,31.99,"Crisis mitigation in progress, situation critical",executive_sponsor,Executive sponsor assigned immediately,2,25000
37,2024-09-09,crisis,support_ticket,Critical support ticket - Production loss quantified,very_negative,-0.9,31.99,31.74,"Crisis mitigation in progress, situation critical",,,,
37,2024-09-09,crisis,escalation,CEO threatening to change vendors - Trust destroyed,very_negative,-0.9,31.99,31.74,"Crisis mitigation in progress, situation critical",,,,
38,2024-09-16,crisis,executive_engagement,Board questioning infrastructure decision,very_negative,-0.85,31.74,31.09,"Crisis mitigation in progress, situation critical",,,,
38,2024-09-16,crisis,executive_engagement,Board questioning infrastructure decision,very_negative,-0.85,31.74,31.09,"Crisis mitigation in progress, situation critical",,,,
39,2024-09-23,crisis,budget_review,Emergency budget meeting - Damages being calculated,very_negative,-0.85,31.09,30.95,"Crisis mitigation in progress, situation critical",,,,
40,2024-09-30,crisis,budget_review,Emergency budget meeting - Damages being calculated,very_negative,-0.85,30.95,30.6,"Crisis mitigation in progress, situation critical",root_cause_analysis,Root cause analysis initiated,4,10000
40,2024-09-30,crisis,support_ticket,Critical support ticket - Production loss quantified,very_negative,-0.9,30.95,30.6,"Crisis mitigation in progress, situation critical",,,,
