account_id,week_number,milestone_date,milestone_type,milestone_outcome,leading_indicators,arr_impact,confidence_at_time,primary_drivers,signal_breakdown
10003,37,2024-09-09,expansion_budget_approved,budget_secured,"[""CFO approved expansion budget"", ""Executive engagement: 99.32"", ""Strategic alignment: 95.13""]",5000000,0.9,"[{""driver"": ""Executive buy-in"", ""weight"": 0.45}, {""driver"": ""Business value demonstrated"", ""weight"": 0.35}, {""driver"": ""Budget available"", ""weight"": 0.2}]",
10003,43,2024-10-21,expansion_budget_approved,budget_secured,"[""CFO approved expansion budget"", ""Executive engagement: 90.13"", ""Strategic alignment: 100""]",5000000,0.9,"[{""driver"": ""Executive buy-in"", ""weight"": 0.45}, {""driver"": ""Business value demonstrated"", ""weight"": 0.35}, {""driver"": ""Budget available"", ""weight"": 0.2}]",
10003,51,2024-12-16,expansion_budget_approved,budget_secured,"[""CFO approved expansion budget"", ""Executive engagement: 94.66"", ""Strategic alignment: 92.23""]",5000000,0.9,"[{""driver"": ""Executive buy-in"", ""weight"": 0.45}, {""driver"": ""Business value demonstrated"", ""weight"": 0.35}, {""driver"": ""Budget available"", ""weight"": 0.2}]",
10004,6,2024-02-05,crisis_detected,crisis_active,"[""Major outage event: 14-HOUR OUTAGE - Complete production stoppage"", ""Health dropped to 38.0"", ""Phase: crisis""]",0,0.95,"[{""driver"": ""Production outage"", ""weight"": 0.7}, {""driver"": ""Health score drop"", ""weight"": 0.3}]","{""event_type"": ""outage"", ""sentiment"": -0.95, ""health_impact"": 0}"
10004,7,2024-02-12,crisis_detected,crisis_active,"[""Major outage event: 14-HOUR OUTAGE - Complete production stoppage"", ""Health dropped to 43.68"", ""Phase: crisis""]",0,0.95,"[{""driver"": ""Production outage"", ""weight"": 0.7}, {""driver"": ""Health score drop"", ""weight"": 0.3}]","{""event_type"": ""outage"", ""sentiment"": -0.95, ""health_impact"": 0}"
10004,8,2024-02-19,crisis_detected,crisis_active,"[""Major outage event: 14-HOUR OUTAGE - Complete production stoppage"", ""Health dropped to 46.41"", ""Phase: crisis""]",0,0.95,"[{""driver"": ""Production outage"", ""weight"": 0.7}, {""driver"": ""Health score drop"", ""weight"": 0.3}]","{""event_type"": ""outage"", ""sentiment"": -0.95, ""health_impact"": 0}"
10005,8,2024-02-19,crisis_detected,crisis_active,"[""Major outage event: 14-HOUR OUTAGE - Complete production stoppage"", ""Health dropped to 48.46"", ""Phase: crisis""]",0,0.95,"[{""driver"": ""Production outage"", ""weight"": 0.7}, {""driver"": ""Health score drop"", ""weight"": 0.3}]","{""event_type"": ""outage"", ""sentiment"": -0.95, ""health_impact"": 0}"
10006,22,2024-05-27,expansion_budget_approved,budget_secured,"[""CFO approved expansion budget"", ""Executive engagement: 52.47"", ""Strategic alignment: 61.52""]",5000000,0.9,"[{""driver"": ""Executive buy-in"", ""weight"": 0.45}, {""driver"": ""Business value demonstrated"", ""weight"": 0.35}, {""driver"": ""Budget available"", ""weight"": 0.2}]",
10006,22,2024-05-27,expansion_budget_approved,budget_secured,"[""CFO approved expansion budget"", ""Executive engagement: 52.47"", ""Strategic alignment: 61.52""]",5000000,0.9,"[{""driver"": ""Executive buy-in"", ""weight"": 0.45}, {""driver"": ""Business value demonstrated"", ""weight"": 0.35}, {""driver"": ""Budget available"", ""weight"": 0.2}]",
10006,22,2024-05-27,expansion_budget_approved,budget_secured,"[""CFO approved expansion budget"", ""Executive engagement: 52.47"", ""Strategic alignment: 61.52""]",5000000,0.9,"[{""driver"": ""Executive buy-in"", ""weight"": 0.45}, {""driver"": ""Business value demonstrated"", ""weight"": 0.35}, {""driver"": ""Budget available"", ""weight"": 0.2}]",
10006,31,2024-07-29,expansion_budget_approved,budget_secured,"[""CFO approved expansion budget"", ""Executive engagement: 99.32"", ""Strategic alignment: 100""]",5000000,0.9,"[{""driver"": ""Executive buy-in"", ""weight"": 0.45}, {""driver"": ""Business value demonstrated"", ""weight"": 0.35}, {""driver"": ""Budget available"", ""weight"": 0.2}]",
10006,31,2024-07-29,expansion_budget_approved,budget_secured,"[""CFO approved expansion budget"", ""Executive engagement: 99.32"", ""Strategic alignment: 100""]",5000000,0.9,"[{""driver"": ""Executive buy-in"", ""weight"": 0.45}, {""driver"": ""Business value demonstrated"", ""weight"": 0.35}, {""driver"": ""Budget available"", ""weight"": 0.2}]",
10006,35,2024-08-26,expansion_budget_approved,budget_secured,"[""CFO approved expansion budget"", ""Executive engagement: 98.52"", ""Strategic alignment: 100""]",5000000,0.9,"[{""driver"": ""Executive buy-in"", ""weight"": 0.45}, {""driver"": ""Business value demonstrated"", ""weight"": 0.35}, {""driver"": ""Budget available"", ""weight"": 0.2}]",
10006,39,2024-09-23,expansion_budget_approved,budget_secured,"[""CFO approved expansion budget"", ""Executive engagement: 94.19"", ""Strategic alignment: 97.6""]",5000000,0.9,"[{""driver"": ""Executive buy-in"", ""weight"": 0.45}, {""driver"": ""Business value demonstrated"", ""weight"": 0.35}, {""driver"": ""Budget available"", ""weight"": 0.2}]",
10006,43,2024-10-21,expansion_budget_approved,budget_secured,"[""CFO approved expansion budget"", ""Executive engagement: 90.13"", ""Strategic alignment: 100""]",5000000,0.9,"[{""driver"": ""Executive buy-in"", ""weight"": 0.45}, {""driver"": ""Business value demonstrated"", ""weight"": 0.35}, {""driver"": ""Budget available"", ""weight"": 0.2}]",
10007,27,2024-07-01,churn_contract_terminated,churned,"[""Contract terminated"", ""Customer migrated to AWS"", ""Final health: 31.25""]",-3800000,1.0,,
10008,14,2024-04-01,expansion_budget_approved,budget_secured,"[""CFO approved expansion budget"", ""Executive engagement: 98.84"", ""Strategic alignment: 100""]",5000000,0.9,"[{""driver"": ""Executive buy-in"", ""weight"": 0.45}, {""driver"": ""Business value demonstrated"", ""weight"": 0.35}, {""driver"": ""Budget available"", ""weight"": 0.2}]",
10008,18,2024-04-29,expansion_budget_approved,budget_secured,"[""CFO approved expansion budget"", ""Executive engagement: 44.72"", ""Strategic alignment: 61.07""]",5000000,0.9,"[{""driver"": ""Executive buy-in"", ""weight"": 0.45}, {""driver"": ""Business value demonstrated"", ""weight"": 0.35}, {""driver"": ""Budget available"", ""weight"": 0.2}]",
10008,23,2024-06-03,expansion_budget_approved,budget_secured,"[""CFO approved expansion budget"", ""Executive engagement: 48.75"", ""Strategic alignment: 61.33""]",5000000,0.9,"[{""driver"": ""Executive buy-in"", ""weight"": 0.45}, {""driver"": ""Business value demonstrated"", ""weight"": 0.35}, {""driver"": ""Budget available"", ""weight"": 0.2}]",
10008,37,2024-09-09,expansion_budget_approved,budget_secured,"[""CFO approved expansion budget"", ""Executive engagement: 99.32"", ""Strategic alignment: 95.13""]",5000000,0.9,"[{""driver"": ""Executive buy-in"", ""weight"": 0.45}, {""driver"": ""Business value demonstrated"", ""weight"": 0.35}, {""driver"": ""Budget available"", ""weight"": 0.2}]",
10008,40,2024-09-30,expansion_budget_approved,budget_secured,"[""CFO approved expansion budget"", ""Executive engagement: 89.15"", ""Strategic alignment: 100""]",5000000,0.9,"[{""driver"": ""Executive buy-in"", ""weight"": 0.45}, {""driver"": ""Business value demonstrated"", ""weight"": 0.35}, {""driver"": ""Budget available"", ""weight"": 0.2}]",
10008,43,2024-10-21,expansion_budget_approved,budget_secured,"[""CFO approved expansion budget"", ""Executive engagement: 90.13"", ""Strategic alignment: 100""]",5000000,0.9,"[{""driver"": ""Executive buy-in"", ""weight"": 0.45}, {""driver"": ""Business value demonstrated"", ""weight"": 0.35}, {""driver"": ""Budget available"", ""weight"": 0.2}]",
10008,48,2024-11-25,expansion_budget_approved,budget_secured,"[""CFO approved expansion budget"", ""Executive engagement: 94.78"", ""Strategic alignment: 93.48""]",5000000,0.9,"[{""driver"": ""Executive buy-in"", ""weight"": 0.45}, {""driver"": ""Business value demonstrated"", ""weight"": 0.35}, {""driver"": ""Budget available"", ""weight"": 0.2}]",
10008,52,2024-12-23,expansion_budget_approved,budget_secured,"[""CFO approved expansion budget"", ""Executive engagement: 100"", ""Strategic alignment: 99.62""]",5000000,0.9,"[{""driver"": ""Executive buy-in"", ""weight"": 0.45}, {""driver"": ""Business value demonstrated"", ""weight"": 0.35}, {""driver"": ""Budget available"", ""weight"": 0.2}]",
10009,30,2024-07-22,churn_contract_terminated,churned,"[""Contract terminated"", ""Customer migrated to AWS"", ""Final health: 30.8""]",-3800000,1.0,,
10010,4,2024-01-22,churn_early_warning,at_risk,"[""Low GPU utilization: 59.73%"", ""Negative workload growth: 8.25%"", ""Low NPS: 33.81"", ""Health: 68.19""]",0,0.6,"[{""driver"": ""Low product adoption"", ""weight"": 0.4}, {""driver"": ""Poor customer sentiment"", ""weight"": 0.35}, {""driver"": ""Declining usage"", ""weight"": 0.25}]",
10010,29,2024-07-15,churn_contract_terminated,churned,"[""Contract terminated"", ""Customer migrated to AWS"", ""Final health: 30.3""]",-3800000,1.0,,
