kpi_code,kpi_name,pillar,pillar_weight,kpi_weight_in_pillar,indicator_type,predictive_horizon_days,confidence_level,direction,source_review,data_source_system,data_collection_method,impact_level,measurement_frequency,range_type,range_min,range_max,target_value,target_operator,unit,range_critical_min,range_critical_max,state_at_risk_min,state_at_risk_max,range_healthy_min,range_healthy_max,range_optimal_min,range_optimal_max,business_impact
OS-KPI5,Critical Alert Response Time,P2_Operational_Stability,0.3,0.05,lagging,0,0.87,lower_better,SBR,Alert monitoring system (PagerDuty/Opsgenie),Automated response time tracking from alert to acknowledgment,High,Daily,minutes,0,480,15.0,<=,minutes,60.0,480.0,30.0,59.0,0.0,29.0,0.0,15.0,"Slow response extends downtime, customer frustration"
OS-KPI6,Change Success Rate,P2_Operational_Stability,0.3,0.05,lagging,0,0.82,higher_better,OBR,Change management system (ServiceNow),Automated change outcome tracking (success/rollback),Medium,Monthly,percentage,0,100,95.0,>=,%,0.0,85.0,86.0,94.0,95.0,100.0,98.0,100.0,"Failed changes cause instability, require rollback"
OS-KPI7,RMA Rate,P2_Operational_Stability,0.3,0.1,lagging,0,0.88,lower_better,OBR,RMA tracking system + Supply chain database,Automated RMA request tracking as % of total GPUs,Critical,Monthly,percentage,0,10,2.0,<=,%,4.0,10.0,2.5,3.9,0.0,2.4,0.0,1.5,"High RMA indicates hardware quality issues, $67K cost per incident"
AI-KPI1,GPU Utilization,P3_AI_Workload_Performance,0.3,0.4,leading,60,0.91,range_optimal,OBR,GPU telemetry via SSH (nvidia-smi),"Automated polling every 5 minutes, averaged hourly",Critical,Daily,percentage,0,100,65.0,>=,%,0.0,40.0,41.0,50.0,51.0,89.0,65.0,75.0,Low util = waste ($120K/qtr). High util + growth = $13M expansion opportunity
AI-KPI1-OVERLOAD,GPU Utilization (Overload State),P3_AI_Workload_Performance,0.3,0.0,leading,7,0.85,lower_better,OBR,GPU telemetry via SSH (nvidia-smi),"Same as AI-KPI1, separate alert threshold",High,Daily,percentage,0,100,89.0,<=,%,90.0,100.0,85.0,89.0,0.0,84.0,65.0,75.0,"Overload = performance degradation risk, immediate capacity need"
AI-KPI2,Model Training Time,P3_AI_Workload_Performance,0.3,0.15,lagging,0,0.78,lower_better,OBR,Workload management system (Slurm/Kubernetes),Automated job completion time tracking,High,Per Workload,hours,0,500,,<=,hours,,500.0,,,0.0,,0.0,,"Slow training delays projects, impacts time-to-market"
AI-KPI3,Inference Latency,P3_AI_Workload_Performance,0.3,0.15,lagging,0,0.8,lower_better,OBR,Application performance monitoring (APM),P95 latency measurement from application metrics,High,Daily,milliseconds,0,10000,,<=,ms,,10000.0,,,0.0,,0.0,,"High latency impacts real-time applications, customer satisfaction"
AI-KPI4,Throughput,P3_AI_Workload_Performance,0.3,0.2,leading,30,0.83,higher_better,OBR,Workload scheduler metrics (Slurm/Kubernetes),Automated job completion counting per time period,High,Daily,count,0,10000,,>=,jobs/hour,0.0,,,,,10000.0,,10000.0,Low throughput indicates performance issues or underutilization
AI-KPI5,Cost per Workload,P3_AI_Workload_Performance,0.3,0.05,lagging,0,0.75,lower_better,VBR,Cost allocation system (FinOps platform),Automated cost calculation per workload (GPU + power + cooling),Medium,Monthly,dollars,0,100000,,<=,$,,100000.0,,,0.0,,0.0,,"High cost per workload reduces ROI, budget pressure"
AI-KPI6,Performance vs Baseline,P3_AI_Workload_Performance,0.3,0.05,lagging,0,0.82,higher_better,OBR,Benchmark suite results,"Weekly standardized benchmark runs, compared to baseline",High,Weekly,percentage,-50,200,100.0,>=,%,-50.0,80.0,81.0,99.0,100.0,200.0,110.0,200.0,Below baseline performance indicates configuration or hardware issues
CH-KPI1,Partner Engagement Score,P4_Channel_Partner_Health,0.05,0.25,leading,45,0.76,higher_better,CSR,Partner portal activity tracking,Composite score: meeting frequency + email response + joint activities,Medium,Monthly,score,0,100,75.0,>=,score,0.0,60.0,61.0,74.0,75.0,100.0,85.0,100.0,Low engagement indicates partner relationship risk
CH-KPI2,Channel Revenue Percentage,P4_Channel_Partner_Health,0.05,0.2,lagging,0,0.88,higher_better,VBR,Revenue recognition system (NetSuite/SAP),Automated revenue attribution by channel,Medium,Quarterly,percentage,0,100,,,%,0.0,30.0,31.0,50.0,51.0,100.0,70.0,100.0,Shows partner's revenue contribution to account
CH-KPI3,Partner Certification Rate,P4_Channel_Partner_Health,0.05,0.1,lagging,0,0.72,higher_better,CSR,Partner certification tracking system,Automated tracking of active certifications,Low,Quarterly,percentage,0,100,80.0,>=,%,0.0,50.0,51.0,79.0,80.0,100.0,90.0,100.0,Certification indicates partner technical competence
CH-KPI4,Co-sell Pipeline,P4_Channel_Partner_Health,0.05,0.3,leading,60,0.79,higher_better,VBR,CRM opportunity tracking (Salesforce),Automated pipeline value summation by account,High,Monthly,dollars,0,100000000,,>=,$,0.0,500000.0,500001.0,1000000.0,1000001.0,100000000.0,5000000.0,100000000.0,Pipeline value indicates expansion opportunity strength
CH-KPI5,Partner Satisfaction Score,P4_Channel_Partner_Health,0.05,0.1,leading,90,0.74,higher_better,CSR,Partner survey system,Quarterly partner satisfaction survey (0-10 scale),Medium,Quarterly,score,0,10,8.0,>=,score,0.0,5.0,6.0,7.0,8.0,10.0,9.0,10.0,Low satisfaction indicates partner relationship issues
CH-KPI6,Joint Success Rate,P4_Channel_Partner_Health,0.05,0.05,lagging,0,0.77,higher_better,VBR,Joint project tracking system,Automated success rate calculation (closed/won opportunities),Medium,Quarterly,percentage,0,100,75.0,>=,%,0.0,50.0,51.0,74.0,75.0,100.0,85.0,100.0,Success rate shows effectiveness of partner collaboration
EX-KPI1,Net Revenue Retention (NRR),P5_Expansion_Revenue_Growth,0.25,0.2,lagging,0,0.92,higher_better,VBR,Revenue recognition system (NetSuite/SAP),Quarterly cohort-based NRR calculation,Critical,Quarterly,percentage,0,200,110.0,>=,%,0.0,90.0,91.0,109.0,110.0,200.0,120.0,200.0,"NRR < 100% = revenue loss, >110% = healthy expansion"
EX-KPI2,Expansion ARR,P5_Expansion_Revenue_Growth,0.25,0.2,lagging,0,0.95,higher_better,VBR,Contract management system (Salesforce CPQ),Automated expansion revenue tracking from contract amendments,Critical,Quarterly,dollars,0,100000000,,>=,$,0.0,0.0,1.0,500000.0,500001.0,100000000.0,1000000.0,100000000.0,"Direct measure of account growth, target $13M avg expansions"
EX-KPI3,Cross-sell Rate,P5_Expansion_Revenue_Growth,0.25,0.1,lagging,0,0.81,higher_better,VBR,Product adoption tracking system,Automated tracking of product line adoption,High,Quarterly,percentage,0,100,30.0,>=,%,0.0,10.0,11.0,29.0,30.0,100.0,50.0,100.0,Cross-sell indicates product fit and expansion potential
EX-KPI4,Usage Growth (MoM),P5_Expansion_Revenue_Growth,0.25,0.15,leading,75,0.88,higher_better,OBR,GPU utilization tracking (aggregated from telemetry),Month-over-month growth calculation from GPU hours consumed,High,Monthly,percentage,-50,200,5.0,>=,% MoM,-50.0,-5.0,-4.0,4.0,5.0,200.0,15.0,200.0,"High growth indicates expansion need within 60-90 days, proactive capture opportunity"
EX-KPI5,Feature Adoption Rate,P5_Expansion_Revenue_Growth,0.25,0.1,leading,60,0.79,higher_better,CSR,Feature usage analytics (product telemetry),Automated tracking of feature usage vs available features,High,Monthly,percentage,0,100,60.0,>=,%,0.0,30.0,31.0,59.0,60.0,100.0,80.0,100.0,"Low adoption indicates training gaps, limits expansion potential"
EX-KPI6,Reference Customer Status,P5_Expansion_Revenue_Growth,0.25,0.05,leading,90,0.84,higher_better,CSR,Reference program tracking system,Manual tracking of reference customer participation,Medium,Quarterly,boolean,0,1,1.0,=,Y/N,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,"Reference status indicates high satisfaction, reduces sales cycle"
EX-KPI7,Contract Renewal Rate,P5_Expansion_Revenue_Growth,0.25,0.15,lagging,0,0.93,higher_better,VBR,Contract management system (Salesforce CPQ),Automated renewal tracking from contract management,High,Quarterly,percentage,0,100,90.0,>=,%,0.0,70.0,71.0,89.0,90.0,100.0,95.0,100.0,"Low renewal rate indicates retention risk, revenue loss"
EX-KPI8,Customer NPS,P5_Expansion_Revenue_Growth,0.25,0.05,leading,180,0.85,higher_better,CSR,Customer survey system (Qualtrics/SurveyMonkey),Quarterly NPS survey via email (0-10 scale),Critical,Quarterly,score,0,10,8.0,>=,score,0.0,5.0,6.0,7.0,8.0,10.0,9.0,10.0,NPS predicts retention and expansion likelihood 6-12 months ahead
