kpi_code,kpi_name,pillar,pillar_weight,kpi_weight_in_pillar,indicator_type,predictive_horizon_days,confidence_level,direction,source_review,data_source_system,data_collection_method,impact_level,measurement_frequency,range_type,range_min,range_max,target_value,target_operator,unit,range_critical_min,range_critical_max,range_atrisk_min,range_atrisk_max,range_healthy_min,range_healthy_max,range_optimal_min,range_optimal_max,can_be_na,na_conditions,priority_in_normal,priority_in_crisis,priority_in_expansion,reasoning_notes,triggers_playbook,playbook_logic,trigger_threshold,trigger_condition,business_impact,quality_rules,causal_relationship
OS-KPI6,Change Success Rate,P2_Operational_Stability,0.3,0.05,lagging,0,0.82,higher_better,OBR,Change management system (ServiceNow),Automated change outcome tracking (success/rollback),Medium,Monthly,percentage,0,100,95,>=,%,0,85,86,94,95,100,98,100,False,,low,low,low,"Process metric, less strategic",PB-05,IF <90% THEN PB-05 (Health Monitoring),90,<,"Failed changes cause instability, require rollback",Track changes that complete without causing incidents,Failed changes → Instability → Incidents
OS-KPI7,RMA Rate,P2_Operational_Stability,0.3,0.1,lagging,0,0.88,lower_better,OBR,RMA tracking system + Supply chain database,Automated RMA request tracking as % of total GPUs,Critical,Monthly,percentage,0,10,2.0,<=,%,4.0,10.0,2.5,3.9,0,2.4,0,1.5,False,,high,critical,medium,"CRITICAL - high RMA often cause of crisis, confirms hardware issues",PB-02,IF >2.5% THEN PB-02 (RMA Prevention),2.5,>,"High RMA indicates hardware quality issues, $67K cost per incident",Calculate monthly RMA requests as % of total deployed GPUs,High RMA → Hardware quality issues → Customer trust damaged → Churn risk
AI-KPI1,GPU Utilization,P3_AI_Workload_Performance,0.3,0.4,leading,60,0.91,range_optimal,OBR,GPU telemetry via SSH (nvidia-smi),"Automated polling every 5 minutes, averaged hourly",Critical,Daily,percentage,0,100,65,>=,%,0,40,41,50,51,89,65,75,False,,high,low,critical,CRITICAL for expansion - >75% = strongest signal. Low priority in crisis.,"PB-03,PB-04",IF <50% THEN PB-03 (GPU Optimization). IF >75% AND usage_growth >15% THEN PB-04 (Capacity Planning),50 (low) or 75 (high),"< 50 triggers PB-03, > 75 triggers PB-04",Low util = waste ($120K/qtr). High util + growth = $13M expansion opportunity,"Average across all GPUs, exclude idle maintenance periods",High util (>75%) → Capacity constraint in 60 days → Expansion opportunity. Low util (<50%) → Waste → Optimization need
AI-KPI1-OVERLOAD,GPU Utilization (Overload State),P3_AI_Workload_Performance,0.3,0.0,leading,7,0.85,lower_better,OBR,GPU telemetry via SSH (nvidia-smi),"Same as AI-KPI1, separate alert threshold",High,Daily,percentage,0,100,89,<=,%,90,100,85,89,0,84,65,75,False,,medium,high,critical,"Overload state (>90%) = imminent capacity constraint, different from expansion signal",PB-04,IF >90% THEN PB-04 (Capacity Planning) - URGENT,90,>,"Overload = performance degradation risk, immediate capacity need",Alert when sustained >90% for 24+ hours,Overload (>90%) → Performance degradation imminent → Urgent capacity need
AI-KPI2,Model Training Time,P3_AI_Workload_Performance,0.3,0.15,lagging,0,0.78,lower_better,OBR,Workload management system (Slurm/Kubernetes),Automated job completion time tracking,High,Per Workload,hours,0,500,Baseline,<=,hours,Baseline + 30%,500,Baseline + 15%,Baseline + 29%,0,Baseline + 14%,0,Baseline,False,,medium,low,low,Performance indicator but not strategic signal,PB-03,IF >15% above baseline THEN PB-03 (GPU Optimization),Baseline + 15%,>,"Slow training delays projects, impacts time-to-market",Compare to baseline for same model/dataset combination,Slow training → Poor performance perception → Dissatisfaction → Risk
AI-KPI3,Inference Latency,P3_AI_Workload_Performance,0.3,0.15,lagging,0,0.8,lower_better,OBR,Application performance monitoring (APM),P95 latency measurement from application metrics,High,Daily,milliseconds,0,10000,SLA,<=,ms,SLA + 30%,10000,SLA + 10%,SLA + 29%,0,SLA + 9%,0,SLA,True,Training-only workloads (no inference),medium,low,low,Important for real-time apps but not strategic signal,PB-03,IF >SLA+10% THEN PB-03 (GPU Optimization),SLA + 10%,>,"High latency impacts real-time applications, customer satisfaction",P95 latency over 24-hour period,High latency → Poor user experience → Application issues
AI-KPI4,Throughput,P3_AI_Workload_Performance,0.3,0.2,leading,30,0.83,higher_better,OBR,Workload scheduler metrics (Slurm/Kubernetes),Automated job completion counting per time period,High,Daily,count,0,10000,Baseline,>=,jobs/hour,0,Baseline - 30%,Baseline - 29%,Baseline - 10%,Baseline - 9%,10000,Baseline,10000,False,,medium,low,medium,"Indicates capacity utilization, moderate strategic value",PB-03,IF <Baseline-10% THEN PB-03 (GPU Optimization),Baseline - 10%,<,Low throughput indicates performance issues or underutilization,"Count successfully completed jobs per hour, averaged daily",Low throughput → Performance issues or underutilization
AI-KPI5,Cost per Workload,P3_AI_Workload_Performance,0.3,0.05,lagging,0,0.75,lower_better,VBR,Cost allocation system (FinOps platform),Automated cost calculation per workload (GPU + power + cooling),Medium,Monthly,dollars,0,100000,Budget,<=,$,Budget + 30%,100000,Budget + 15%,Budget + 29%,0,Budget + 14%,0,Budget,False,,low,low,low,"Financial metric, not strategic signal",PB-03,IF >Budget+15% THEN PB-03 (GPU Optimization),Budget + 15%,>,"High cost per workload reduces ROI, budget pressure","Fully loaded cost including GPU depreciation, power, cooling",High cost → Budget pressure → ROI concerns
AI-KPI6,Performance vs Baseline,P3_AI_Workload_Performance,0.3,0.05,lagging,0,0.82,higher_better,OBR,Benchmark suite results,"Weekly standardized benchmark runs, compared to baseline",High,Weekly,percentage,-50,200,100,>=,%,-50,80,81,99,100,200,110,200,False,,medium,medium,low,"Performance validation metric, confirms issues",PB-03,IF <90% THEN PB-03 (GPU Optimization),90,<,Below baseline performance indicates configuration or hardware issues,Compare standardized workload to established baseline performance,Below baseline → Configuration/hardware issues
CH-KPI1,Partner Engagement Score,P4_Channel_Partner_Health,0.05,0.25,leading,45,0.76,higher_better,CSR,Partner portal activity tracking,Composite score: meeting frequency + email response + joint activities,Medium,Monthly,score,0,100,75,>=,score,0,60,61,74,75,100,85,100,False,,low,low,medium,"Partner health matters for expansion, less critical otherwise",PB-06,IF <70 THEN PB-06 (Customer Engagement),70,<,Low engagement indicates partner relationship risk,Composite score calculated from portal activity metrics,Low engagement → Partner disengagement → Support quality issues
CH-KPI2,Channel Revenue Percentage,P4_Channel_Partner_Health,0.05,0.2,lagging,0,0.88,higher_better,VBR,Revenue recognition system (NetSuite/SAP),Automated revenue attribution by channel,Medium,Quarterly,percentage,0,100,Account specific,N/A,%,0,30,31,50,51,100,70,100,False,,low,low,low,"Informational metric, not actionable signal",,,,,Shows partner's revenue contribution to account,Calculate channel revenue / total account revenue,N/A - informational metric
CH-KPI3,Partner Certification Rate,P4_Channel_Partner_Health,0.05,0.1,lagging,0,0.72,higher_better,CSR,Partner certification tracking system,Automated tracking of active certifications,Low,Quarterly,percentage,0,100,80,>=,%,0,50,51,79,80,100,90,100,False,,low,low,low,Quality indicator but not actionable,,,,,Certification indicates partner technical competence,% of partner technical staff with current certifications,Low certification → Lower partner competence → Support quality risk
CH-KPI4,Co-sell Pipeline,P4_Channel_Partner_Health,0.05,0.3,leading,60,0.79,higher_better,VBR,CRM opportunity tracking (Salesforce),Automated pipeline value summation by account,High,Monthly,dollars,0,100000000,Account specific,>=,$,0,500000,500001,1000000,1000001,100000000,5000000,100000000,False,,medium,low,high,"Strong signal for expansion opportunity, key in expansion scenario","PB-04,PB-06",IF <$500K THEN PB-06 (Customer Engagement) to build pipeline,500000,<,Pipeline value indicates expansion opportunity strength,Sum of weighted pipeline opportunities (probability × value),Low pipeline → Limited expansion opportunities
CH-KPI5,Partner Satisfaction Score,P4_Channel_Partner_Health,0.05,0.1,leading,90,0.74,higher_better,CSR,Partner survey system,Quarterly partner satisfaction survey (0-10 scale),Medium,Quarterly,score,0,10,8,>=,score,0,5,6,7,8,10,9,10,False,,low,low,medium,"Partner relationship indicator, moderate importance",PB-06,IF <7 THEN PB-06 (Customer Engagement),7,<,Low satisfaction indicates partner relationship issues,Quarterly partner satisfaction survey (0-10 scale),Low satisfaction → Partner disengagement → Account risk
CH-KPI6,Joint Success Rate,P4_Channel_Partner_Health,0.05,0.05,lagging,0,0.77,higher_better,VBR,Joint project tracking system,Automated success rate calculation (closed/won opportunities),Medium,Quarterly,percentage,0,100,75,>=,%,0,50,51,74,75,100,85,100,False,,low,low,low,"Historical performance indicator, not predictive",,,,,Success rate shows effectiveness of partner collaboration,% of joint opportunities that close successfully,Low success rate → Partner effectiveness issues
EX-KPI1,Net Revenue Retention (NRR),P5_Expansion_Revenue_Growth,0.25,0.2,lagging,0,0.92,higher_better,VBR,Revenue recognition system (NetSuite/SAP),Quarterly cohort-based NRR calculation,Critical,Quarterly,percentage,0,200,110,>=,%,0,90,91,109,110,200,120,200,False,,high,medium,high,Critical revenue health indicator across scenarios,"PB-04,PB-05",IF <100% THEN PB-05 (Health Monitoring). IF >120% THEN PB-04 (Capacity Planning),100,<,"NRR < 100% = revenue loss, >110% = healthy expansion","Calculate cohort-based NRR quarterly, include expansions and churn",NRR <100% → Revenue declining → Business at risk. NRR >110% → Healthy expansion
EX-KPI2,Expansion ARR,P5_Expansion_Revenue_Growth,0.25,0.2,lagging,0,0.95,higher_better,VBR,Contract management system (Salesforce CPQ),Automated expansion revenue tracking from contract amendments,Critical,Quarterly,dollars,0,100000000,Account specific,>=,$,0,0,1,500000,500001,100000000,1000000,100000000,False,,high,low,critical,"Direct measure of expansion success, CRITICAL in expansion scenario",PB-04,Opportunity detected → PB-04 (Capacity Planning),N/A,N/A,"Direct measure of account growth, target $13M avg expansions",Sum of upsell/cross-sell revenue added this quarter,Expansion ARR → Account growth → Revenue success
EX-KPI3,Cross-sell Rate,P5_Expansion_Revenue_Growth,0.25,0.1,lagging,0,0.81,higher_better,VBR,Product adoption tracking system,Automated tracking of product line adoption,High,Quarterly,percentage,0,100,30,>=,%,0,10,11,29,30,100,50,100,False,,medium,low,high,"Indicates expansion potential, important in expansion scenarios",PB-04,IF <20% THEN PB-04 (Capacity Planning) - cross-sell opportunity,20,<,Cross-sell indicates product fit and expansion potential,% of accounts with multiple product lines adopted,High cross-sell → Product stickiness → Expansion opportunity
EX-KPI4,Usage Growth (MoM),P5_Expansion_Revenue_Growth,0.25,0.15,leading,75,0.88,higher_better,OBR,GPU utilization tracking (aggregated from telemetry),Month-over-month growth calculation from GPU hours consumed,High,Monthly,percentage,-50,200,5,>=,% MoM,-50,-5,-4,4,5,200,15,200,False,,high,low,critical,CRITICAL for expansion - >15% MoM = strongest predictive signal with AI-KPI1,PB-04,IF >15% MoM AND AI-KPI1 >75% THEN PB-04 (Capacity Planning) - expansion needed in 60-90 days,15,>,"High growth indicates expansion need within 60-90 days, proactive capture opportunity","Month-over-month growth in GPU hours consumed, 3-month rolling average",High growth (>15%) → Capacity constraint in 60-90 days → Expansion opportunity
EX-KPI5,Feature Adoption Rate,P5_Expansion_Revenue_Growth,0.25,0.1,leading,60,0.79,higher_better,CSR,Feature usage analytics (product telemetry),Automated tracking of feature usage vs available features,High,Monthly,percentage,0,100,60,>=,%,0,30,31,59,60,100,80,100,False,,medium,low,medium,"Indicates product engagement depth, moderate strategic value","PB-03,PB-06",IF <50% THEN PB-03 (GPU Optimization) OR PB-06 (Customer Engagement),50,<,"Low adoption indicates training gaps, limits expansion potential",% of available features actively used by customer,Low adoption → Limited value realization → Expansion risk
EX-KPI6,Reference Customer Status,P5_Expansion_Revenue_Growth,0.25,0.05,leading,90,0.84,higher_better,CSR,Reference program tracking system,Manual tracking of reference customer participation,Medium,Quarterly,boolean,0,1,1,=,Y/N,0,0,0,0,1,1,1,1,False,,low,low,low,Satisfaction indicator but not actionable signal,PB-06,Opportunity to engage if status = 1,,,"Reference status indicates high satisfaction, reduces sales cycle",Customer willing to provide references to prospects,Reference status → High satisfaction → Advocacy
EX-KPI7,Contract Renewal Rate,P5_Expansion_Revenue_Growth,0.25,0.15,lagging,0,0.93,higher_better,VBR,Contract management system (Salesforce CPQ),Automated renewal tracking from contract management,High,Quarterly,percentage,0,100,90,>=,%,0,70,71,89,90,100,95,100,False,,high,high,medium,"Critical retention indicator, important across scenarios","PB-05,PB-06",IF <85% THEN PB-05 (Health Monitoring) + PB-06 (Customer Engagement),85,<,"Low renewal rate indicates retention risk, revenue loss",% of contracts up for renewal that successfully renew,Low renewal rate → Retention risk → Revenue loss
EX-KPI8,Customer NPS,P5_Expansion_Revenue_Growth,0.25,0.05,leading,180,0.85,higher_better,CSR,Customer survey system (Qualtrics/SurveyMonkey),Quarterly NPS survey via email (0-10 scale),Critical,Quarterly,score,0,10,8,>=,score,0,5,6,7,8,10,9,10,False,,medium,high,high,"Strongest long-term predictor (6-12 months), important across scenarios","PB-05,PB-06",IF <7 THEN PB-05 (Health Monitoring) + PB-06 (Customer Engagement),7,<,NPS predicts retention and expansion likelihood 6-12 months ahead,"Quarterly NPS survey (0-10 scale), promoter threshold 9-10",Low NPS (<7) → Dissatisfaction → Churn risk in 6-12 months. High NPS (9+) → Expansion opportunity
